employee_id,department,role,privilege_level,security_training_completed,previous_training_score,total_simulations,emails_opened,links_clicked,attachments_opened,credentials_submitted,phishing_emails_reported,simulations_failed,remediation_trainings,targeted_scenarios,average_failure_probability,average_reporting_time_seconds,targeted_attack_failure_rate,email_open_rate,click_rate,attachment_open_rate,credential_submission_rate,reporting_rate,failure_rate,remediation_rate,non_failure_rate,report_to_failure_ratio,privilege_risk_value,training_risk,reporting_quality,privilege_risk_normalized,failure_risk_component,credential_risk_component,click_risk_component,training_risk_component,targeted_risk_component,privilege_risk_component,reporting_reduction,raw_risk_score,risk_score,risk_level,recommended_action,primary_risk_driver
EMP0013,Operations,Operations Analyst,Medium,1,87,10,9,0,0,0,10,0,0,0,0.189,336.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2,0.13,1.0,0.3333333333333333,0.0,0.0,0.0,1.3,0.0,3.333333333333333,5.0,-0.36666666666666714,0.0,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0014,Human Resources,Recruiter,Medium,1,63,10,8,2,0,2,6,4,4,2,0.2725,366.6667,0.5,0.8,0.2,0.0,0.2,0.6,0.4,0.4,0.6,1.5,2,0.37,0.6,0.3333333333333333,12.0,4.0,3.0,3.7,5.0,3.333333333333333,3.0,28.03333333333333,29.51,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0015,Operations,Operations Manager,Medium,1,86,10,6,0,1,0,6,2,2,0,0.277,407.1667,0.0,0.6,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,2,0.14,0.6,0.3333333333333333,6.0,0.0,0.0,1.4000000000000001,0.0,3.333333333333333,3.0,7.733333333333334,8.14,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0016,Sales,Sales Manager,Low,1,80,10,9,1,0,1,6,2,2,0,0.3161,265.8333,0.0,0.9,0.1,0.0,0.1,0.6,0.2,0.2,0.8,3.0,1,0.2,0.6,0.0,6.0,2.0,1.5,2.0,0.0,0.0,3.0,8.5,8.95,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0017,Finance,Finance Manager,Medium,1,60,10,9,3,1,3,5,4,4,1,0.3425,205.0,0.0,0.9,0.3,0.1,0.3,0.5,0.4,0.4,0.6,1.25,2,0.4,0.5,0.3333333333333333,12.0,6.0,4.5,4.0,0.0,3.333333333333333,2.5,27.333333333333332,28.77,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0018,Operations,Operations Analyst,Low,1,69,10,8,1,0,1,7,2,2,0,0.3385,275.1429,0.0,0.8,0.1,0.0,0.1,0.7,0.2,0.2,0.8,3.0,1,0.31,0.7,0.0,6.0,2.0,1.5,3.1,0.0,0.0,3.5,9.1,9.58,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0019,Human Resources,Recruiter,High,1,81,10,10,2,0,2,6,2,2,2,0.22,218.3333,0.0,1.0,0.2,0.0,0.2,0.6,0.2,0.2,0.8,3.0,3,0.19,0.6,0.6666666666666666,6.0,4.0,3.0,1.9,0.0,6.666666666666666,3.0,18.566666666666666,19.54,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0020,Executive,Chief Officer,Privileged,1,73,10,5,1,1,0,6,2,2,0,0.2876,270.6667,0.0,0.5,0.1,0.1,0.0,0.6,0.2,0.2,0.8,3.0,4,0.27,0.6,1.0,6.0,0.0,1.5,2.7,0.0,10.0,3.0,17.2,18.11,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0021,Information Technology,System Administrator,High,1,90,10,7,1,0,0,6,3,3,1,0.2702,421.0,0.0,0.7,0.1,0.0,0.0,0.6,0.3,0.3,0.7,2.0,3,0.1,0.6,0.6666666666666666,9.0,0.0,1.5,1.0,0.0,6.666666666666666,3.0,15.166666666666664,15.96,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0022,Sales,Sales Manager,Medium,0,89,10,6,1,0,1,5,4,4,0,0.34,444.4,0.0,0.6,0.1,0.0,0.1,0.5,0.4,0.4,0.6,1.25,2,0.11,0.25,0.3333333333333333,12.0,2.0,1.5,1.1,0.0,3.333333333333333,2.5,17.433333333333334,18.35,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0023,Human Resources,HR Manager,Medium,0,81,10,7,0,1,0,2,3,3,2,0.3287,343.5,0.5,0.7,0.0,0.1,0.0,0.2,0.3,0.3,0.7,0.6667,2,0.19,0.1,0.3333333333333333,9.0,0.0,0.0,1.9,5.0,3.333333333333333,1.0,18.233333333333334,19.19,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0024,Sales,Sales Representative,Medium,0,89,10,9,0,1,0,4,2,2,0,0.2838,280.5,0.0,0.9,0.0,0.1,0.0,0.4,0.2,0.2,0.8,2.0,2,0.11,0.2,0.3333333333333333,6.0,0.0,0.0,1.1,0.0,3.333333333333333,2.0,8.433333333333334,8.88,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0025,Marketing,Digital Marketing Analyst,Low,1,87,10,10,3,1,1,7,4,4,0,0.3359,206.5714,0.0,1.0,0.3,0.1,0.1,0.7,0.4,0.4,0.6,1.75,1,0.13,0.7,0.0,12.0,2.0,4.5,1.3,0.0,0.0,3.5,16.3,17.16,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0026,Legal,Legal Assistant,Medium,1,94,10,9,2,0,1,5,3,3,0,0.2151,250.0,0.0,0.9,0.2,0.0,0.1,0.5,0.3,0.3,0.7,1.6667,2,0.06,0.5,0.3333333333333333,9.0,2.0,3.0,0.6,0.0,3.333333333333333,2.5,15.433333333333334,16.25,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0027,Finance,Accountant,High,1,82,10,6,0,1,0,7,1,1,1,0.1923,200.1429,0.0,0.6,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,3,0.18,0.7,0.6666666666666666,3.0,0.0,0.0,1.7999999999999998,0.0,6.666666666666666,3.5,7.966666666666665,8.39,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0028,Operations,Operations Analyst,Low,1,96,10,8,1,0,0,7,1,1,0,0.186,259.5714,0.0,0.8,0.1,0.0,0.0,0.7,0.1,0.1,0.9,3.0,1,0.04,0.7,0.0,3.0,0.0,1.5,0.4,0.0,0.0,3.5,1.4000000000000004,1.47,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0029,Legal,Legal Assistant,High,1,79,10,10,1,1,1,5,2,2,0,0.3084,195.6,0.0,1.0,0.1,0.1,0.1,0.5,0.2,0.2,0.8,2.5,3,0.21,0.5,0.6666666666666666,6.0,2.0,1.5,2.1,0.0,6.666666666666666,2.5,15.766666666666666,16.6,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0030,Marketing,Marketing Manager,Medium,1,74,10,10,0,0,0,3,0,0,0,0.2126,139.3333,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,3.0,2,0.26,0.3,0.3333333333333333,0.0,0.0,0.0,2.6,0.0,3.333333333333333,1.5,4.433333333333334,4.67,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0031,Information Technology,System Administrator,Medium,1,95,10,10,2,0,1,4,2,2,1,0.1927,233.5,0.0,1.0,0.2,0.0,0.1,0.4,0.2,0.2,0.8,2.0,2,0.05,0.4,0.3333333333333333,6.0,2.0,3.0,0.5,0.0,3.333333333333333,2.0,12.833333333333332,13.51,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0032,Sales,Sales Manager,Medium,0,71,10,8,1,0,0,0,2,2,0,0.2956,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.2,0.2,0.8,0.0,2,0.29,0.0,0.3333333333333333,6.0,0.0,1.5,2.9,0.0,3.333333333333333,0.0,13.733333333333334,14.46,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0033,Marketing,Marketing Manager,Medium,1,88,10,7,1,0,1,6,1,1,0,0.2364,306.1667,0.0,0.7,0.1,0.0,0.1,0.6,0.1,0.1,0.9,3.0,2,0.12,0.6,0.3333333333333333,3.0,2.0,1.5,1.2,0.0,3.333333333333333,3.0,8.033333333333333,8.46,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0034,Legal,Legal Assistant,Medium,1,81,10,8,2,2,1,5,5,5,0,0.1374,196.6,0.0,0.8,0.2,0.2,0.1,0.5,0.5,0.5,0.5,1.0,2,0.19,0.5,0.3333333333333333,15.0,2.0,3.0,1.9,0.0,3.333333333333333,2.5,22.73333333333333,23.93,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0035,Executive,Director,High,1,69,10,8,3,1,1,3,5,5,0,0.3293,315.0,0.0,0.8,0.3,0.1,0.1,0.3,0.5,0.5,0.5,0.6,3,0.31,0.3,0.6666666666666666,15.0,2.0,4.5,3.1,0.0,6.666666666666666,1.5,29.766666666666666,31.33,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0036,Human Resources,HR Specialist,Medium,1,74,10,8,0,1,0,7,1,1,2,0.2379,283.7143,0.0,0.8,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,2,0.26,0.7,0.3333333333333333,3.0,0.0,0.0,2.6,0.0,3.333333333333333,3.5,5.433333333333334,5.72,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0037,Marketing,Marketing Manager,Low,1,78,10,9,2,1,1,3,4,4,0,0.2989,389.6667,0.0,0.9,0.2,0.1,0.1,0.3,0.4,0.4,0.6,0.75,1,0.22,0.3,0.0,12.0,2.0,3.0,2.2,0.0,0.0,1.5,17.7,18.63,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0038,Marketing,Digital Marketing Analyst,Medium,1,75,10,8,0,0,0,5,1,1,0,0.2434,195.2,0.0,0.8,0.0,0.0,0.0,0.5,0.1,0.1,0.9,3.0,2,0.25,0.5,0.3333333333333333,3.0,0.0,0.0,2.5,0.0,3.333333333333333,2.5,6.333333333333332,6.67,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0039,Operations,Operations Manager,Low,1,76,10,8,2,1,1,7,3,3,0,0.2834,339.8571,0.0,0.8,0.2,0.1,0.1,0.7,0.3,0.3,0.7,2.3333,1,0.24,0.7,0.0,9.0,2.0,3.0,2.4,0.0,0.0,3.5,12.899999999999999,13.58,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0040,Human Resources,HR Manager,High,1,82,10,6,2,0,1,7,2,2,2,0.1791,246.4286,0.5,0.6,0.2,0.0,0.1,0.7,0.2,0.2,0.8,3.0,3,0.18,0.7,0.6666666666666666,6.0,2.0,3.0,1.7999999999999998,5.0,6.666666666666666,3.5,20.96666666666667,22.07,Moderate,Provide refresher awareness training and continue behavioral monitoring,Privilege Exposure
EMP0041,Legal,Legal Assistant,High,1,54,10,8,3,0,1,6,4,4,0,0.3138,233.6667,0.0,0.8,0.3,0.0,0.1,0.6,0.4,0.4,0.6,1.5,3,0.46,0.6,0.6666666666666666,12.0,2.0,4.5,4.6000000000000005,0.0,6.666666666666666,3.0,26.766666666666666,28.18,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0042,Marketing,Marketing Specialist,Medium,0,77,10,7,1,0,0,2,2,2,0,0.3578,134.5,0.0,0.7,0.1,0.0,0.0,0.2,0.2,0.2,0.8,1.0,2,0.23,0.1,0.3333333333333333,6.0,0.0,1.5,2.3000000000000003,0.0,3.333333333333333,1.0,12.133333333333333,12.77,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0043,Finance,Finance Manager,High,1,75,10,9,1,1,1,4,3,3,1,0.3062,387.75,1.0,0.9,0.1,0.1,0.1,0.4,0.3,0.3,0.7,1.3333,3,0.25,0.4,0.6666666666666666,9.0,2.0,1.5,2.5,10.0,6.666666666666666,2.0,29.666666666666664,31.23,Moderate,Provide refresher awareness training and continue behavioral monitoring,Targeted Attack Failures
EMP0044,Information Technology,Security Analyst,Medium,1,81,10,10,4,0,2,5,4,4,1,0.2699,471.8,1.0,1.0,0.4,0.0,0.2,0.5,0.4,0.4,0.6,1.25,2,0.19,0.5,0.3333333333333333,12.0,4.0,6.0,1.9,10.0,3.333333333333333,2.5,34.733333333333334,36.56,High,Assign targeted phishing awareness training and reassess within 30 days,Phishing Failures
EMP0045,Operations,Operations Manager,Low,1,91,10,9,2,1,1,5,4,4,0,0.172,174.2,0.0,0.9,0.2,0.1,0.1,0.5,0.4,0.4,0.6,1.25,1,0.09,0.5,0.0,12.0,2.0,3.0,0.8999999999999999,0.0,0.0,2.5,15.399999999999999,16.21,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0046,Information Technology,System Administrator,Medium,1,87,10,7,2,1,2,5,4,4,1,0.1894,436.0,0.0,0.7,0.2,0.1,0.2,0.5,0.4,0.4,0.6,1.25,2,0.13,0.5,0.3333333333333333,12.0,4.0,3.0,1.3,0.0,3.333333333333333,2.5,21.133333333333333,22.25,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0047,Finance,Finance Manager,High,1,85,10,9,3,0,3,5,3,3,1,0.3172,274.2,0.0,0.9,0.3,0.0,0.3,0.5,0.3,0.3,0.7,1.6667,3,0.15,0.5,0.6666666666666666,9.0,6.0,4.5,1.5,0.0,6.666666666666666,2.5,25.166666666666664,26.49,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0048,Executive,Director,High,1,100,10,7,1,0,1,7,1,1,0,0.1735,345.1429,0.0,0.7,0.1,0.0,0.1,0.7,0.1,0.1,0.9,3.0,3,0.0,0.7,0.6666666666666666,3.0,2.0,1.5,0.0,0.0,6.666666666666666,3.5,9.666666666666666,10.18,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0049,Legal,Compliance Analyst,Medium,1,79,10,7,0,0,0,8,0,0,0,0.3666,318.375,0.0,0.7,0.0,0.0,0.0,0.8,0.0,0.0,1.0,3.0,2,0.21,0.8,0.3333333333333333,0.0,0.0,0.0,2.1,0.0,3.333333333333333,4.0,1.4333333333333336,1.51,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0050,Finance,Financial Analyst,Medium,0,71,10,9,3,1,2,5,4,4,1,0.3593,192.2,0.0,0.9,0.3,0.1,0.2,0.5,0.4,0.4,0.6,1.25,2,0.29,0.25,0.3333333333333333,12.0,4.0,4.5,2.9,0.0,3.333333333333333,2.5,24.23333333333333,25.51,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0051,Human Resources,HR Manager,High,1,65,10,8,2,0,2,6,3,3,2,0.1891,394.8333,0.5,0.8,0.2,0.0,0.2,0.6,0.3,0.3,0.7,2.0,3,0.35,0.6,0.6666666666666666,9.0,4.0,3.0,3.5,5.0,6.666666666666666,3.0,28.166666666666664,29.65,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0052,Human Resources,HR Manager,Medium,1,83,10,10,2,0,2,4,3,3,2,0.3754,233.75,0.5,1.0,0.2,0.0,0.2,0.4,0.3,0.3,0.7,1.3333,2,0.17,0.4,0.3333333333333333,9.0,4.0,3.0,1.7000000000000002,5.0,3.333333333333333,2.0,24.03333333333333,25.3,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0053,Information Technology,Security Analyst,High,0,68,10,8,3,0,3,5,3,3,1,0.4153,314.4,1.0,0.8,0.3,0.0,0.3,0.5,0.3,0.3,0.7,1.6667,3,0.32,0.25,0.6666666666666666,9.0,6.0,4.5,3.2,10.0,6.666666666666666,2.5,36.86666666666667,38.81,High,Assign targeted phishing awareness training and reassess within 30 days,Targeted Attack Failures
EMP0054,Information Technology,System Administrator,Privileged,1,74,10,8,1,1,1,4,3,3,1,0.255,279.75,0.0,0.8,0.1,0.1,0.1,0.4,0.3,0.3,0.7,1.3333,4,0.26,0.4,1.0,9.0,2.0,1.5,2.6,0.0,10.0,2.0,23.1,24.32,Moderate,Provide refresher awareness training and continue behavioral monitoring,Privilege Exposure
EMP0055,Marketing,Marketing Specialist,Low,1,80,10,9,2,0,0,6,2,2,0,0.2455,220.5,0.0,0.9,0.2,0.0,0.0,0.6,0.2,0.2,0.8,3.0,1,0.2,0.6,0.0,6.0,0.0,3.0,2.0,0.0,0.0,3.0,8.0,8.42,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0056,Operations,Operations Specialist,Medium,1,93,10,9,1,1,1,6,2,2,0,0.2408,370.6667,0.0,0.9,0.1,0.1,0.1,0.6,0.2,0.2,0.8,3.0,2,0.07,0.6,0.3333333333333333,6.0,2.0,1.5,0.7000000000000001,0.0,3.333333333333333,3.0,10.533333333333331,11.09,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0057,Executive,Chief Officer,Privileged,1,81,10,8,1,0,0,5,2,2,0,0.3066,169.0,0.0,0.8,0.1,0.0,0.0,0.5,0.2,0.2,0.8,2.5,4,0.19,0.5,1.0,6.0,0.0,1.5,1.9,0.0,10.0,2.5,16.9,17.79,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0058,Human Resources,HR Specialist,Medium,1,87,10,7,1,1,1,3,2,2,2,0.2639,243.6667,0.0,0.7,0.1,0.1,0.1,0.3,0.2,0.2,0.8,1.5,2,0.13,0.3,0.3333333333333333,6.0,2.0,1.5,1.3,0.0,3.333333333333333,1.5,12.633333333333333,13.3,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0059,Human Resources,Recruiter,Medium,1,81,10,9,2,1,1,7,3,3,2,0.3075,279.5714,0.5,0.9,0.2,0.1,0.1,0.7,0.3,0.3,0.7,2.3333,2,0.19,0.7,0.3333333333333333,9.0,2.0,3.0,1.9,5.0,3.333333333333333,3.5,20.73333333333333,21.82,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0060,Sales,Sales Manager,Low,0,82,10,9,2,0,1,8,2,2,0,0.3457,274.75,0.0,0.9,0.2,0.0,0.1,0.8,0.2,0.2,0.8,3.0,1,0.18,0.4,0.0,6.0,2.0,3.0,1.7999999999999998,0.0,0.0,4.0,8.8,9.26,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0061,Finance,Financial Analyst,Medium,1,81,10,10,1,0,1,7,2,2,1,0.3005,307.8571,1.0,1.0,0.1,0.0,0.1,0.7,0.2,0.2,0.8,3.0,2,0.19,0.7,0.3333333333333333,6.0,2.0,1.5,1.9,10.0,3.333333333333333,3.5,21.23333333333333,22.35,Moderate,Provide refresher awareness training and continue behavioral monitoring,Targeted Attack Failures
EMP0062,Sales,Sales Representative,Low,1,69,10,8,4,0,2,5,6,6,0,0.3389,246.0,0.0,0.8,0.4,0.0,0.2,0.5,0.6,0.6,0.4,0.8333,1,0.31,0.5,0.0,18.0,4.0,6.0,3.1,0.0,0.0,2.5,28.6,30.11,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0063,Legal,Legal Assistant,Medium,1,63,10,8,1,0,0,5,1,1,0,0.2744,357.4,0.0,0.8,0.1,0.0,0.0,0.5,0.1,0.1,0.9,3.0,2,0.37,0.5,0.3333333333333333,3.0,0.0,1.5,3.7,0.0,3.333333333333333,2.5,9.033333333333331,9.51,Low,Maintain standard awareness training and periodic phishing simulation,Training Weakness
EMP0064,Operations,Operations Manager,Medium,1,85,10,8,1,1,1,8,2,2,0,0.338,301.75,0.0,0.8,0.1,0.1,0.1,0.8,0.2,0.2,0.8,3.0,2,0.15,0.8,0.3333333333333333,6.0,2.0,1.5,1.5,0.0,3.333333333333333,4.0,10.333333333333332,10.88,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0065,Sales,Sales Manager,Low,1,89,10,8,2,0,0,6,2,2,0,0.2553,229.1667,0.0,0.8,0.2,0.0,0.0,0.6,0.2,0.2,0.8,3.0,1,0.11,0.6,0.0,6.0,0.0,3.0,1.1,0.0,0.0,3.0,7.1,7.47,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0066,Executive,Director,Privileged,1,82,10,9,1,1,0,6,2,2,0,0.2324,249.1667,0.0,0.9,0.1,0.1,0.0,0.6,0.2,0.2,0.8,3.0,4,0.18,0.6,1.0,6.0,0.0,1.5,1.7999999999999998,0.0,10.0,3.0,16.3,17.16,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0067,Marketing,Marketing Specialist,Low,1,67,10,5,3,0,1,4,4,4,0,0.363,151.25,0.0,0.5,0.3,0.0,0.1,0.4,0.4,0.4,0.6,1.0,1,0.33,0.4,0.0,12.0,2.0,4.5,3.3000000000000003,0.0,0.0,2.0,19.8,20.84,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0068,Human Resources,HR Manager,High,1,68,10,7,0,1,0,6,2,2,2,0.3867,382.5,0.5,0.7,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,3,0.32,0.6,0.6666666666666666,6.0,0.0,0.0,3.2,5.0,6.666666666666666,3.0,17.866666666666667,18.81,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0069,Legal,Compliance Analyst,High,1,78,10,7,4,0,1,7,4,4,0,0.2551,229.0,0.0,0.7,0.4,0.0,0.1,0.7,0.4,0.4,0.6,1.75,3,0.22,0.7,0.6666666666666666,12.0,2.0,6.0,2.2,0.0,6.666666666666666,3.5,25.366666666666667,26.7,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0070,Executive,Chief Officer,High,1,95,10,7,0,1,0,7,1,1,0,0.1532,263.4286,0.0,0.7,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,3,0.05,0.7,0.6666666666666666,3.0,0.0,0.0,0.5,0.0,6.666666666666666,3.5,6.666666666666666,7.02,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0071,Human Resources,HR Specialist,High,1,65,10,8,4,1,1,4,5,5,2,0.2749,168.0,1.0,0.8,0.4,0.1,0.1,0.4,0.5,0.5,0.5,0.8,3,0.35,0.4,0.6666666666666666,15.0,2.0,6.0,3.5,10.0,6.666666666666666,2.0,41.166666666666664,43.33,High,Assign targeted phishing awareness training and reassess within 30 days,Phishing Failures
