employee_id,department,role,privilege_level,security_training_completed,previous_training_score,historical_simulations,historical_failures,historical_clicks,historical_attachments_opened,historical_credentials_submitted,historical_reports,historical_targeted_attacks,average_historical_failure_probability,historical_failure_rate,historical_click_rate,historical_attachment_rate,historical_credential_rate,historical_reporting_rate,future_failures,future_phishing_failure,privilege_risk_value,training_risk
EMP0014,Human Resources,Recruiter,Medium,1,63,7,4,2,0,2,6,1,0.2667,0.5714,0.2857,0.0,0.2857,0.8571,0,0,2,0.37
EMP0015,Operations,Operations Manager,Medium,1,86,7,2,0,1,0,5,0,0.2506,0.2857,0.0,0.1429,0.0,0.7143,0,0,2,0.14
EMP0016,Sales,Sales Manager,Low,1,80,7,1,0,0,0,4,0,0.3041,0.1429,0.0,0.0,0.0,0.5714,1,1,1,0.2
EMP0017,Finance,Finance Manager,Medium,1,60,7,4,3,1,3,3,1,0.3461,0.5714,0.4286,0.1429,0.4286,0.4286,0,0,2,0.4
EMP0018,Operations,Operations Analyst,Low,1,69,7,2,1,0,1,5,0,0.3307,0.2857,0.1429,0.0,0.1429,0.7143,0,0,1,0.31
EMP0019,Human Resources,Recruiter,High,1,81,7,1,1,0,1,4,1,0.1778,0.1429,0.1429,0.0,0.1429,0.5714,1,1,3,0.19
EMP0020,Executive,Chief Officer,Privileged,1,73,7,1,1,0,0,4,0,0.2683,0.1429,0.1429,0.0,0.0,0.5714,1,1,4,0.27
EMP0021,Information Technology,System Administrator,High,1,90,7,2,1,0,0,4,1,0.284,0.2857,0.1429,0.0,0.0,0.5714,1,1,3,0.1
EMP0022,Sales,Sales Manager,Medium,0,89,7,3,1,0,1,4,0,0.3395,0.4286,0.1429,0.0,0.1429,0.5714,1,1,2,0.11
EMP0023,Human Resources,HR Manager,Medium,0,81,7,1,0,0,0,2,1,0.3,0.1429,0.0,0.0,0.0,0.2857,2,1,2,0.19
EMP0024,Sales,Sales Representative,Medium,0,89,7,1,0,0,0,3,0,0.2841,0.1429,0.0,0.0,0.0,0.4286,1,1,2,0.11
EMP0025,Marketing,Digital Marketing Analyst,Low,1,87,7,2,2,0,1,5,0,0.3225,0.2857,0.2857,0.0,0.1429,0.7143,2,1,1,0.13
EMP0026,Legal,Legal Assistant,Medium,1,94,7,2,2,0,1,4,0,0.1958,0.2857,0.2857,0.0,0.1429,0.5714,1,1,2,0.06
EMP0027,Finance,Accountant,High,1,82,7,0,0,0,0,6,1,0.1684,0.0,0.0,0.0,0.0,0.8571,0,0,3,0.18
EMP0028,Operations,Operations Analyst,Low,1,96,7,1,1,0,0,5,0,0.1609,0.1429,0.1429,0.0,0.0,0.7143,0,0,1,0.04
EMP0029,Legal,Legal Assistant,High,1,79,7,2,1,1,1,4,0,0.2981,0.2857,0.1429,0.1429,0.1429,0.5714,0,0,3,0.21
EMP0030,Marketing,Marketing Manager,Medium,1,74,7,0,0,0,0,3,0,0.1865,0.0,0.0,0.0,0.0,0.4286,0,0,2,0.26
EMP0031,Information Technology,System Administrator,Medium,1,95,7,1,1,0,1,3,1,0.2022,0.1429,0.1429,0.0,0.1429,0.4286,1,1,2,0.05
EMP0032,Sales,Sales Manager,Medium,0,71,7,1,1,0,0,0,0,0.3084,0.1429,0.1429,0.0,0.0,0.0,1,1,2,0.29
EMP0033,Marketing,Marketing Manager,Medium,1,88,7,1,1,0,1,3,0,0.2336,0.1429,0.1429,0.0,0.1429,0.4286,0,0,2,0.12
EMP0034,Legal,Legal Assistant,Medium,1,81,7,3,1,1,1,3,0,0.1084,0.4286,0.1429,0.1429,0.1429,0.4286,1,1,2,0.19
EMP0035,Executive,Director,High,1,69,7,3,1,1,1,1,0,0.3092,0.4286,0.1429,0.1429,0.1429,0.1429,2,1,3,0.31
EMP0036,Human Resources,HR Specialist,Medium,1,74,7,1,0,1,0,4,1,0.2238,0.1429,0.0,0.1429,0.0,0.5714,0,0,2,0.26
EMP0037,Marketing,Marketing Manager,Low,1,78,7,3,2,0,1,3,0,0.2885,0.4286,0.2857,0.0,0.1429,0.4286,1,1,1,0.22
EMP0038,Marketing,Digital Marketing Analyst,Medium,1,75,7,1,0,0,0,4,0,0.2464,0.1429,0.0,0.0,0.0,0.5714,0,0,2,0.25
EMP0039,Operations,Operations Manager,Low,1,76,7,2,1,1,1,4,0,0.2844,0.2857,0.1429,0.1429,0.1429,0.5714,1,1,1,0.24
EMP0040,Human Resources,HR Manager,High,1,82,7,1,1,0,1,6,1,0.1514,0.1429,0.1429,0.0,0.1429,0.8571,1,1,3,0.18
EMP0041,Legal,Legal Assistant,High,1,54,7,2,2,0,0,4,0,0.3271,0.2857,0.2857,0.0,0.0,0.5714,2,1,3,0.46
EMP0042,Marketing,Marketing Specialist,Medium,0,77,7,2,1,0,0,1,0,0.3727,0.2857,0.1429,0.0,0.0,0.1429,0,0,2,0.23
EMP0043,Finance,Finance Manager,High,1,75,7,3,1,1,1,2,1,0.3197,0.4286,0.1429,0.1429,0.1429,0.2857,0,0,3,0.25
EMP0044,Information Technology,Security Analyst,Medium,1,81,7,3,3,0,1,5,1,0.2457,0.4286,0.4286,0.0,0.1429,0.7143,1,1,2,0.19
EMP0045,Operations,Operations Manager,Low,1,91,7,3,1,1,1,4,0,0.1424,0.4286,0.1429,0.1429,0.1429,0.5714,1,1,1,0.09
EMP0046,Information Technology,System Administrator,Medium,1,87,7,1,1,0,1,2,1,0.1638,0.1429,0.1429,0.0,0.1429,0.2857,3,1,2,0.13
EMP0047,Finance,Finance Manager,High,1,85,7,3,3,0,3,2,1,0.3081,0.4286,0.4286,0.0,0.4286,0.2857,0,0,3,0.15
EMP0048,Executive,Director,High,1,100,7,0,0,0,0,5,0,0.1273,0.0,0.0,0.0,0.0,0.7143,1,1,3,0.0
EMP0049,Legal,Compliance Analyst,Medium,1,79,7,0,0,0,0,5,0,0.3663,0.0,0.0,0.0,0.0,0.7143,0,0,2,0.21
EMP0050,Finance,Financial Analyst,Medium,0,71,7,3,3,0,2,4,1,0.3692,0.4286,0.4286,0.0,0.2857,0.5714,1,1,2,0.29
EMP0051,Human Resources,HR Manager,High,1,65,7,3,2,0,2,5,1,0.1329,0.4286,0.2857,0.0,0.2857,0.7143,0,0,3,0.35
EMP0052,Human Resources,HR Manager,Medium,1,83,7,2,1,0,1,3,1,0.3822,0.2857,0.1429,0.0,0.1429,0.4286,1,1,2,0.17
EMP0053,Information Technology,Security Analyst,High,0,68,7,2,2,0,2,3,1,0.4499,0.2857,0.2857,0.0,0.2857,0.4286,1,1,3,0.32
EMP0054,Information Technology,System Administrator,Privileged,1,74,7,2,1,0,1,2,1,0.2304,0.2857,0.1429,0.0,0.1429,0.2857,1,1,4,0.26
EMP0055,Marketing,Marketing Specialist,Low,1,80,7,1,1,0,0,3,0,0.2121,0.1429,0.1429,0.0,0.0,0.4286,1,1,1,0.2
EMP0056,Operations,Operations Specialist,Medium,1,93,7,1,1,0,1,4,0,0.2265,0.1429,0.1429,0.0,0.1429,0.5714,1,1,2,0.07
EMP0057,Executive,Chief Officer,Privileged,1,81,7,2,1,0,0,5,0,0.2989,0.2857,0.1429,0.0,0.0,0.7143,0,0,4,0.19
EMP0058,Human Resources,HR Specialist,Medium,1,87,7,2,1,1,1,2,1,0.2364,0.2857,0.1429,0.1429,0.1429,0.2857,0,0,2,0.13
EMP0059,Human Resources,Recruiter,Medium,1,81,7,3,2,1,1,5,1,0.3099,0.4286,0.2857,0.1429,0.1429,0.7143,0,0,2,0.19
EMP0060,Sales,Sales Manager,Low,0,82,7,2,2,0,1,6,0,0.3384,0.2857,0.2857,0.0,0.1429,0.8571,0,0,1,0.18
EMP0061,Finance,Financial Analyst,Medium,1,81,7,2,1,0,1,4,1,0.2814,0.2857,0.1429,0.0,0.1429,0.5714,0,0,2,0.19
EMP0062,Sales,Sales Representative,Low,1,69,7,4,3,0,2,4,0,0.346,0.5714,0.4286,0.0,0.2857,0.5714,2,1,1,0.31
EMP0063,Legal,Legal Assistant,Medium,1,63,7,0,0,0,0,5,0,0.2722,0.0,0.0,0.0,0.0,0.7143,1,1,2,0.37
EMP0064,Operations,Operations Manager,Medium,1,85,7,2,1,1,1,5,0,0.3495,0.2857,0.1429,0.1429,0.1429,0.7143,0,0,2,0.15
EMP0065,Sales,Sales Manager,Low,1,89,7,1,1,0,0,5,0,0.2238,0.1429,0.1429,0.0,0.0,0.7143,1,1,1,0.11
EMP0066,Executive,Director,Privileged,1,82,7,2,1,1,0,4,0,0.205,0.2857,0.1429,0.1429,0.0,0.5714,0,0,4,0.18
EMP0067,Marketing,Marketing Specialist,Low,1,67,7,3,2,0,1,3,0,0.3679,0.4286,0.2857,0.0,0.1429,0.4286,1,1,1,0.33
EMP0068,Human Resources,HR Manager,High,1,68,7,1,0,0,0,5,1,0.3964,0.1429,0.0,0.0,0.0,0.7143,1,1,3,0.32
EMP0069,Legal,Compliance Analyst,High,1,78,7,3,3,0,1,4,0,0.2356,0.4286,0.4286,0.0,0.1429,0.5714,1,1,3,0.22
EMP0070,Executive,Chief Officer,High,1,95,7,0,0,0,0,6,0,0.1008,0.0,0.0,0.0,0.0,0.8571,1,1,3,0.05
EMP0071,Human Resources,HR Specialist,High,1,65,7,3,3,0,1,3,1,0.2445,0.4286,0.4286,0.0,0.1429,0.4286,2,1,3,0.35
EMP0072,Legal,Legal Assistant,Medium,1,83,7,3,2,1,1,4,0,0.2088,0.4286,0.2857,0.1429,0.1429,0.5714,0,0,2,0.17
EMP0073,Sales,Sales Representative,Medium,1,83,7,2,1,0,1,2,0,0.2231,0.2857,0.1429,0.0,0.1429,0.2857,1,1,2,0.17
EMP0074,Information Technology,System Administrator,Medium,1,77,7,1,1,0,0,3,1,0.3081,0.1429,0.1429,0.0,0.0,0.4286,0,0,2,0.23
EMP0075,Operations,Operations Specialist,Low,1,72,7,4,2,0,1,6,0,0.3443,0.5714,0.2857,0.0,0.1429,0.8571,1,1,1,0.28
EMP0076,Human Resources,Recruiter,Medium,1,88,7,1,0,0,0,4,1,0.2076,0.1429,0.0,0.0,0.0,0.5714,0,0,2,0.12
EMP0077,Finance,Finance Manager,Medium,1,67,7,2,2,0,0,4,1,0.4728,0.2857,0.2857,0.0,0.0,0.5714,3,1,2,0.33
EMP0078,Human Resources,HR Specialist,Medium,1,79,7,4,3,0,1,6,1,0.2494,0.5714,0.4286,0.0,0.1429,0.8571,1,1,2,0.21
EMP0079,Marketing,Digital Marketing Analyst,Medium,1,82,7,3,2,1,2,3,0,0.1976,0.4286,0.2857,0.1429,0.2857,0.4286,0,0,2,0.18
EMP0080,Sales,Account Executive,Low,1,84,7,3,3,0,3,2,0,0.3118,0.4286,0.4286,0.0,0.4286,0.2857,2,1,1,0.16
EMP0081,Information Technology,System Administrator,Medium,1,84,7,0,0,0,0,5,1,0.1982,0.0,0.0,0.0,0.0,0.7143,0,0,2,0.16
EMP0082,Marketing,Digital Marketing Analyst,Medium,1,84,7,2,1,1,1,3,0,0.2794,0.2857,0.1429,0.1429,0.1429,0.4286,1,1,2,0.16
EMP0083,Operations,Operations Specialist,Medium,1,84,7,1,0,1,0,5,0,0.1762,0.1429,0.0,0.1429,0.0,0.7143,1,1,2,0.16
EMP0084,Information Technology,IT Support Analyst,High,1,91,7,0,0,0,0,3,1,0.1425,0.0,0.0,0.0,0.0,0.4286,0,0,3,0.09
EMP0085,Sales,Sales Representative,Low,1,68,7,0,0,0,0,3,0,0.3083,0.0,0.0,0.0,0.0,0.4286,0,0,1,0.32
EMP0086,Legal,Legal Assistant,Medium,0,75,7,4,3,0,3,3,0,0.3838,0.5714,0.4286,0.0,0.4286,0.4286,3,1,2,0.25
EMP0087,Executive,Chief Officer,High,1,86,7,2,1,0,1,4,0,0.187,0.2857,0.1429,0.0,0.1429,0.5714,1,1,3,0.14
EMP0088,Finance,Finance Manager,Medium,0,58,7,3,2,1,2,2,1,0.4752,0.4286,0.2857,0.1429,0.2857,0.2857,3,1,2,0.42
EMP0089,Information Technology,IT Support Analyst,Privileged,1,78,7,1,1,0,1,5,1,0.1707,0.1429,0.1429,0.0,0.1429,0.7143,1,1,4,0.22
EMP0090,Human Resources,HR Manager,Medium,1,65,7,4,3,0,2,2,1,0.3747,0.5714,0.4286,0.0,0.2857,0.2857,1,1,2,0.35
EMP0091,Marketing,Marketing Specialist,Low,0,78,7,4,2,1,0,1,0,0.3467,0.5714,0.2857,0.1429,0.0,0.1429,2,1,1,0.22
EMP0092,Finance,Finance Manager,Medium,1,70,7,6,2,1,1,1,1,0.4817,0.8571,0.2857,0.1429,0.1429,0.1429,3,1,2,0.3
EMP0093,Marketing,Marketing Manager,Medium,1,53,7,3,2,1,1,1,0,0.4087,0.4286,0.2857,0.1429,0.1429,0.1429,2,1,2,0.47
EMP0094,Operations,Operations Analyst,Medium,1,80,7,3,1,0,1,7,0,0.1966,0.4286,0.1429,0.0,0.1429,1.0,0,0,2,0.2
EMP0095,Sales,Account Executive,Medium,0,84,7,5,4,1,3,3,0,0.3264,0.7143,0.5714,0.1429,0.4286,0.4286,0,0,2,0.16
EMP0096,Information Technology,Security Analyst,Privileged,1,88,7,2,2,0,1,5,1,0.2727,0.2857,0.2857,0.0,0.1429,0.7143,0,0,4,0.12
EMP0097,Operations,Operations Specialist,Medium,1,99,7,1,1,0,0,1,0,0.1522,0.1429,0.1429,0.0,0.0,0.1429,1,1,2,0.01
EMP0098,Human Resources,HR Specialist,High,1,82,7,2,1,1,0,3,1,0.3328,0.2857,0.1429,0.1429,0.0,0.4286,3,1,3,0.18
EMP0099,Human Resources,HR Specialist,Medium,1,100,7,3,2,0,1,6,1,0.2619,0.4286,0.2857,0.0,0.1429,0.8571,3,1,2,0.0
EMP0100,Operations,Operations Analyst,Medium,1,90,7,1,0,0,0,6,0,0.2116,0.1429,0.0,0.0,0.0,0.8571,1,1,2,0.1
EMP0101,Human Resources,HR Specialist,High,1,83,7,0,0,0,0,5,1,0.272,0.0,0.0,0.0,0.0,0.7143,1,1,3,0.17
EMP0102,Operations,Operations Analyst,Medium,0,87,7,1,1,0,0,4,0,0.3531,0.1429,0.1429,0.0,0.0,0.5714,1,1,2,0.13
EMP0103,Operations,Operations Manager,Low,1,74,7,3,2,0,2,4,0,0.2769,0.4286,0.2857,0.0,0.2857,0.5714,2,1,1,0.26
EMP0104,Operations,Operations Manager,Low,1,63,7,2,2,0,2,2,0,0.3774,0.2857,0.2857,0.0,0.2857,0.2857,2,1,1,0.37
EMP0105,Information Technology,System Administrator,Medium,0,95,7,3,2,1,1,3,1,0.2831,0.4286,0.2857,0.1429,0.1429,0.4286,2,1,2,0.05
EMP0106,Human Resources,HR Manager,Medium,1,60,7,1,1,0,0,5,1,0.2581,0.1429,0.1429,0.0,0.0,0.7143,2,1,2,0.4
EMP0107,Operations,Operations Specialist,Low,1,80,7,1,1,0,1,3,0,0.1548,0.1429,0.1429,0.0,0.1429,0.4286,0,0,1,0.2
EMP0108,Legal,Legal Assistant,High,1,70,7,2,2,0,0,3,0,0.3272,0.2857,0.2857,0.0,0.0,0.4286,1,1,3,0.3
EMP0109,Executive,Vice President,High,1,97,7,1,0,1,0,5,0,0.2487,0.1429,0.0,0.1429,0.0,0.7143,1,1,3,0.03
EMP0110,Human Resources,HR Manager,High,1,63,7,4,2,0,1,5,1,0.2751,0.5714,0.2857,0.0,0.1429,0.7143,1,1,3,0.37
EMP0111,Operations,Operations Analyst,Low,1,81,7,5,3,1,2,3,0,0.2992,0.7143,0.4286,0.1429,0.2857,0.4286,2,1,1,0.19
EMP0112,Legal,Legal Assistant,High,1,70,7,3,2,0,2,2,0,0.325,0.4286,0.2857,0.0,0.2857,0.2857,1,1,3,0.3
EMP0113,Information Technology,Security Analyst,High,0,70,7,3,1,1,1,3,1,0.4139,0.4286,0.1429,0.1429,0.1429,0.4286,2,1,3,0.3
EMP0114,Marketing,Marketing Manager,Low,1,88,7,1,1,0,1,5,0,0.3402,0.1429,0.1429,0.0,0.1429,0.7143,2,1,1,0.12
EMP0115,Human Resources,HR Specialist,Medium,1,87,7,1,1,0,1,5,1,0.2929,0.1429,0.1429,0.0,0.1429,0.7143,1,1,2,0.13
EMP0116,Finance,Accountant,Medium,1,85,7,3,2,0,2,4,1,0.3095,0.4286,0.2857,0.0,0.2857,0.5714,2,1,2,0.15
EMP0117,Marketing,Marketing Specialist,Low,1,77,7,5,2,1,2,2,0,0.2741,0.7143,0.2857,0.1429,0.2857,0.2857,1,1,1,0.23
EMP0118,Operations,Operations Specialist,Low,1,79,7,0,0,0,0,4,0,0.1658,0.0,0.0,0.0,0.0,0.5714,1,1,1,0.21
EMP0119,Legal,Legal Assistant,Medium,1,75,7,3,2,0,1,2,0,0.3858,0.4286,0.2857,0.0,0.1429,0.2857,0,0,2,0.25
EMP0120,Human Resources,Recruiter,High,1,91,7,3,1,0,1,6,1,0.2203,0.4286,0.1429,0.0,0.1429,0.8571,2,1,3,0.09
EMP0121,Information Technology,IT Support Analyst,Medium,1,93,7,3,2,0,0,5,1,0.141,0.4286,0.2857,0.0,0.0,0.7143,0,0,2,0.07
EMP0122,Information Technology,System Administrator,Medium,1,78,7,1,0,0,0,1,1,0.2568,0.1429,0.0,0.0,0.0,0.1429,1,1,2,0.22
EMP0123,Information Technology,Security Analyst,High,0,81,7,2,1,0,0,4,1,0.3773,0.2857,0.1429,0.0,0.0,0.5714,0,0,3,0.19
EMP0124,Marketing,Marketing Manager,Low,1,76,7,2,1,0,1,6,0,0.4032,0.2857,0.1429,0.0,0.1429,0.8571,1,1,1,0.24
EMP0125,Operations,Operations Analyst,Low,1,65,7,0,0,0,0,4,0,0.3245,0.0,0.0,0.0,0.0,0.5714,0,0,1,0.35
EMP0126,Marketing,Marketing Specialist,Medium,1,63,7,2,2,0,1,2,0,0.2243,0.2857,0.2857,0.0,0.1429,0.2857,0,0,2,0.37
EMP0127,Sales,Sales Representative,Medium,1,77,7,3,1,1,0,6,0,0.2709,0.4286,0.1429,0.1429,0.0,0.8571,2,1,2,0.23
EMP0128,Legal,Compliance Analyst,Medium,1,67,7,3,1,1,0,4,0,0.2869,0.4286,0.1429,0.1429,0.0,0.5714,1,1,2,0.33
EMP0129,Sales,Sales Representative,Low,1,68,7,3,1,1,1,2,0,0.2965,0.4286,0.1429,0.1429,0.1429,0.2857,0,0,1,0.32
EMP0130,Marketing,Digital Marketing Analyst,Medium,1,74,7,2,0,1,0,5,0,0.3084,0.2857,0.0,0.1429,0.0,0.7143,2,1,2,0.26
EMP0131,Human Resources,Recruiter,High,0,80,7,4,3,1,2,3,1,0.4388,0.5714,0.4286,0.1429,0.2857,0.4286,3,1,3,0.2
EMP0132,Marketing,Marketing Manager,Medium,1,71,7,4,2,1,2,2,0,0.2793,0.5714,0.2857,0.1429,0.2857,0.2857,2,1,2,0.29
EMP0133,Finance,Financial Analyst,High,0,60,7,0,0,0,0,4,1,0.3473,0.0,0.0,0.0,0.0,0.5714,2,1,3,0.4
EMP0134,Information Technology,Security Analyst,High,1,61,7,3,1,0,1,4,1,0.4238,0.4286,0.1429,0.0,0.1429,0.5714,1,1,3,0.39
EMP0135,Finance,Financial Analyst,High,1,69,7,1,0,0,0,5,1,0.2547,0.1429,0.0,0.0,0.0,0.7143,0,0,3,0.31
EMP0136,Legal,Legal Manager,High,1,75,7,2,2,0,0,3,0,0.3141,0.2857,0.2857,0.0,0.0,0.4286,0,0,3,0.25
EMP0137,Marketing,Marketing Manager,Low,1,77,7,0,0,0,0,4,0,0.1592,0.0,0.0,0.0,0.0,0.5714,1,1,1,0.23
EMP0138,Marketing,Marketing Manager,Low,1,65,7,2,2,0,2,2,0,0.3517,0.2857,0.2857,0.0,0.2857,0.2857,1,1,1,0.35
EMP0139,Operations,Operations Analyst,Medium,0,81,7,1,0,1,0,5,0,0.3813,0.1429,0.0,0.1429,0.0,0.7143,2,1,2,0.19
EMP0140,Finance,Finance Manager,Medium,1,68,7,4,1,0,0,3,1,0.3959,0.5714,0.1429,0.0,0.0,0.4286,1,1,2,0.32
EMP0141,Legal,Compliance Analyst,Medium,1,86,7,0,0,0,0,5,0,0.1162,0.0,0.0,0.0,0.0,0.7143,1,1,2,0.14
EMP0142,Legal,Legal Manager,High,1,73,7,2,1,1,1,4,0,0.2499,0.2857,0.1429,0.1429,0.1429,0.5714,1,1,3,0.27
EMP0143,Human Resources,HR Manager,High,1,80,7,2,2,0,2,2,1,0.2149,0.2857,0.2857,0.0,0.2857,0.2857,1,1,3,0.2
EMP0144,Operations,Operations Manager,Medium,1,78,7,2,0,1,0,2,0,0.3219,0.2857,0.0,0.1429,0.0,0.2857,1,1,2,0.22
EMP0145,Legal,Compliance Analyst,High,1,95,7,3,2,1,1,5,0,0.2998,0.4286,0.2857,0.1429,0.1429,0.7143,1,1,3,0.05
EMP0146,Information Technology,IT Support Analyst,High,1,89,7,0,0,0,0,5,1,0.1522,0.0,0.0,0.0,0.0,0.7143,0,0,3,0.11
EMP0147,Marketing,Marketing Manager,Low,1,100,7,1,1,0,0,6,0,0.1714,0.1429,0.1429,0.0,0.0,0.8571,0,0,1,0.0
EMP0148,Operations,Operations Specialist,Low,1,68,7,2,1,0,1,3,0,0.291,0.2857,0.1429,0.0,0.1429,0.4286,0,0,1,0.32
EMP0149,Operations,Operations Specialist,Low,1,68,7,1,1,0,0,5,0,0.2571,0.1429,0.1429,0.0,0.0,0.7143,1,1,1,0.32
EMP0150,Marketing,Marketing Manager,Medium,1,79,7,0,0,0,0,4,0,0.2963,0.0,0.0,0.0,0.0,0.5714,1,1,2,0.21
EMP0151,Executive,Vice President,Privileged,1,89,7,1,0,0,0,5,0,0.19,0.1429,0.0,0.0,0.0,0.7143,1,1,4,0.11
EMP0152,Sales,Sales Manager,Medium,1,71,7,3,1,0,1,2,0,0.3212,0.4286,0.1429,0.0,0.1429,0.2857,2,1,2,0.29
EMP0153,Information Technology,Security Analyst,Medium,1,62,7,4,3,0,1,1,1,0.3688,0.5714,0.4286,0.0,0.1429,0.1429,2,1,2,0.38
EMP0154,Operations,Operations Manager,Medium,1,99,7,2,1,0,0,5,0,0.3515,0.2857,0.1429,0.0,0.0,0.7143,1,1,2,0.01
EMP0155,Human Resources,HR Specialist,High,0,92,7,2,1,0,1,5,1,0.2119,0.2857,0.1429,0.0,0.1429,0.7143,3,1,3,0.08
EMP0156,Sales,Sales Representative,Low,1,72,7,3,0,1,0,3,0,0.3379,0.4286,0.0,0.1429,0.0,0.4286,2,1,1,0.28
EMP0157,Finance,Financial Analyst,Medium,1,76,7,1,0,1,0,2,1,0.3033,0.1429,0.0,0.1429,0.0,0.2857,2,1,2,0.24
EMP0158,Executive,Chief Officer,High,1,92,7,2,2,0,2,2,0,0.3108,0.2857,0.2857,0.0,0.2857,0.2857,1,1,3,0.08
EMP0159,Executive,Vice President,High,1,78,7,3,3,0,1,4,0,0.332,0.4286,0.4286,0.0,0.1429,0.5714,1,1,3,0.22
EMP0160,Marketing,Digital Marketing Analyst,Medium,1,78,7,3,0,1,0,5,0,0.1647,0.4286,0.0,0.1429,0.0,0.7143,1,1,2,0.22
EMP0161,Sales,Sales Representative,Low,1,65,7,2,0,0,0,5,0,0.4071,0.2857,0.0,0.0,0.0,0.7143,2,1,1,0.35
EMP0162,Human Resources,Recruiter,Medium,1,76,7,1,1,0,0,3,1,0.2392,0.1429,0.1429,0.0,0.0,0.4286,0,0,2,0.24
EMP0163,Information Technology,Security Analyst,Privileged,1,59,7,2,1,1,0,1,1,0.2665,0.2857,0.1429,0.1429,0.0,0.1429,1,1,4,0.41
EMP0164,Executive,Director,High,1,93,7,2,1,0,1,4,0,0.2553,0.2857,0.1429,0.0,0.1429,0.5714,1,1,3,0.07
EMP0165,Human Resources,Recruiter,Medium,1,92,7,2,1,1,0,3,1,0.302,0.2857,0.1429,0.1429,0.0,0.4286,3,1,2,0.08
EMP0166,Executive,Chief Officer,Privileged,1,78,7,1,0,1,0,4,0,0.1771,0.1429,0.0,0.1429,0.0,0.5714,0,0,4,0.22
EMP0167,Executive,Chief Officer,Privileged,1,85,7,2,1,0,1,5,0,0.2257,0.2857,0.1429,0.0,0.1429,0.7143,2,1,4,0.15
EMP0168,Executive,Director,Privileged,1,94,7,3,2,1,1,6,0,0.3257,0.4286,0.2857,0.1429,0.1429,0.8571,1,1,4,0.06
EMP0169,Executive,Vice President,High,0,90,7,2,2,0,1,6,0,0.3599,0.2857,0.2857,0.0,0.1429,0.8571,1,1,3,0.1
EMP0170,Operations,Operations Manager,Medium,1,56,7,0,0,0,0,2,0,0.3127,0.0,0.0,0.0,0.0,0.2857,1,1,2,0.44
EMP0171,Sales,Account Executive,Medium,1,96,7,1,1,0,0,4,0,0.1952,0.1429,0.1429,0.0,0.0,0.5714,0,0,2,0.04
EMP0172,Human Resources,HR Manager,High,1,78,7,0,0,0,0,5,1,0.3032,0.0,0.0,0.0,0.0,0.7143,0,0,3,0.22
EMP0173,Sales,Account Executive,Medium,1,57,7,1,1,0,1,4,0,0.2892,0.1429,0.1429,0.0,0.1429,0.5714,1,1,2,0.43
EMP0174,Legal,Legal Manager,Medium,1,77,7,4,3,0,2,2,0,0.3912,0.5714,0.4286,0.0,0.2857,0.2857,1,1,2,0.23
EMP0175,Information Technology,IT Support Analyst,Medium,1,62,7,5,4,0,3,1,1,0.4122,0.7143,0.5714,0.0,0.4286,0.1429,1,1,2,0.38
