employee_id,department,role,privilege_level,security_training_completed,previous_training_score,total_simulations,emails_opened,links_clicked,attachments_opened,credentials_submitted,phishing_emails_reported,simulations_failed,remediation_trainings,targeted_scenarios,average_failure_probability,average_reporting_time_seconds,targeted_attack_failure_rate,email_open_rate,click_rate,attachment_open_rate,credential_submission_rate,reporting_rate,failure_rate,remediation_rate,non_failure_rate,report_to_failure_ratio,privilege_risk_value,training_risk,reporting_quality
EMP0018,Operations,Operations Analyst,Low,1,69,10,8,1,0,1,7,2,2,0,0.3385,275.1429,0.0,0.8,0.1,0.0,0.1,0.7,0.2,0.2,0.8,3.0,1,0.31,0.7
EMP0019,Human Resources,Recruiter,High,1,81,10,10,2,0,2,6,2,2,2,0.22,218.3333,0.0,1.0,0.2,0.0,0.2,0.6,0.2,0.2,0.8,3.0,3,0.19,0.6
EMP0020,Executive,Chief Officer,Privileged,1,73,10,5,1,1,0,6,2,2,0,0.2876,270.6667,0.0,0.5,0.1,0.1,0.0,0.6,0.2,0.2,0.8,3.0,4,0.27,0.6
EMP0021,Information Technology,System Administrator,High,1,90,10,7,1,0,0,6,3,3,1,0.2702,421.0,0.0,0.7,0.1,0.0,0.0,0.6,0.3,0.3,0.7,2.0,3,0.1,0.6
EMP0022,Sales,Sales Manager,Medium,0,89,10,6,1,0,1,5,4,4,0,0.34,444.4,0.0,0.6,0.1,0.0,0.1,0.5,0.4,0.4,0.6,1.25,2,0.11,0.25
EMP0023,Human Resources,HR Manager,Medium,0,81,10,7,0,1,0,2,3,3,2,0.3287,343.5,0.5,0.7,0.0,0.1,0.0,0.2,0.3,0.3,0.7,0.6667,2,0.19,0.1
EMP0024,Sales,Sales Representative,Medium,0,89,10,9,0,1,0,4,2,2,0,0.2838,280.5,0.0,0.9,0.0,0.1,0.0,0.4,0.2,0.2,0.8,2.0,2,0.11,0.2
EMP0025,Marketing,Digital Marketing Analyst,Low,1,87,10,10,3,1,1,7,4,4,0,0.3359,206.5714,0.0,1.0,0.3,0.1,0.1,0.7,0.4,0.4,0.6,1.75,1,0.13,0.7
EMP0026,Legal,Legal Assistant,Medium,1,94,10,9,2,0,1,5,3,3,0,0.2151,250.0,0.0,0.9,0.2,0.0,0.1,0.5,0.3,0.3,0.7,1.6667,2,0.06,0.5
EMP0027,Finance,Accountant,High,1,82,10,6,0,1,0,7,1,1,1,0.1923,200.1429,0.0,0.6,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,3,0.18,0.7
EMP0028,Operations,Operations Analyst,Low,1,96,10,8,1,0,0,7,1,1,0,0.186,259.5714,0.0,0.8,0.1,0.0,0.0,0.7,0.1,0.1,0.9,3.0,1,0.04,0.7
EMP0029,Legal,Legal Assistant,High,1,79,10,10,1,1,1,5,2,2,0,0.3084,195.6,0.0,1.0,0.1,0.1,0.1,0.5,0.2,0.2,0.8,2.5,3,0.21,0.5
EMP0030,Marketing,Marketing Manager,Medium,1,74,10,10,0,0,0,3,0,0,0,0.2126,139.3333,0.0,1.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,3.0,2,0.26,0.3
EMP0031,Information Technology,System Administrator,Medium,1,95,10,10,2,0,1,4,2,2,1,0.1927,233.5,0.0,1.0,0.2,0.0,0.1,0.4,0.2,0.2,0.8,2.0,2,0.05,0.4
EMP0032,Sales,Sales Manager,Medium,0,71,10,8,1,0,0,0,2,2,0,0.2956,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.2,0.2,0.8,0.0,2,0.29,0.0
EMP0033,Marketing,Marketing Manager,Medium,1,88,10,7,1,0,1,6,1,1,0,0.2364,306.1667,0.0,0.7,0.1,0.0,0.1,0.6,0.1,0.1,0.9,3.0,2,0.12,0.6
EMP0034,Legal,Legal Assistant,Medium,1,81,10,8,2,2,1,5,5,5,0,0.1374,196.6,0.0,0.8,0.2,0.2,0.1,0.5,0.5,0.5,0.5,1.0,2,0.19,0.5
EMP0035,Executive,Director,High,1,69,10,8,3,1,1,3,5,5,0,0.3293,315.0,0.0,0.8,0.3,0.1,0.1,0.3,0.5,0.5,0.5,0.6,3,0.31,0.3
EMP0036,Human Resources,HR Specialist,Medium,1,74,10,8,0,1,0,7,1,1,2,0.2379,283.7143,0.0,0.8,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,2,0.26,0.7
EMP0037,Marketing,Marketing Manager,Low,1,78,10,9,2,1,1,3,4,4,0,0.2989,389.6667,0.0,0.9,0.2,0.1,0.1,0.3,0.4,0.4,0.6,0.75,1,0.22,0.3
EMP0038,Marketing,Digital Marketing Analyst,Medium,1,75,10,8,0,0,0,5,1,1,0,0.2434,195.2,0.0,0.8,0.0,0.0,0.0,0.5,0.1,0.1,0.9,3.0,2,0.25,0.5
EMP0039,Operations,Operations Manager,Low,1,76,10,8,2,1,1,7,3,3,0,0.2834,339.8571,0.0,0.8,0.2,0.1,0.1,0.7,0.3,0.3,0.7,2.3333,1,0.24,0.7
EMP0040,Human Resources,HR Manager,High,1,82,10,6,2,0,1,7,2,2,2,0.1791,246.4286,0.5,0.6,0.2,0.0,0.1,0.7,0.2,0.2,0.8,3.0,3,0.18,0.7
EMP0041,Legal,Legal Assistant,High,1,54,10,8,3,0,1,6,4,4,0,0.3138,233.6667,0.0,0.8,0.3,0.0,0.1,0.6,0.4,0.4,0.6,1.5,3,0.46,0.6
EMP0042,Marketing,Marketing Specialist,Medium,0,77,10,7,1,0,0,2,2,2,0,0.3578,134.5,0.0,0.7,0.1,0.0,0.0,0.2,0.2,0.2,0.8,1.0,2,0.23,0.1
EMP0043,Finance,Finance Manager,High,1,75,10,9,1,1,1,4,3,3,1,0.3062,387.75,1.0,0.9,0.1,0.1,0.1,0.4,0.3,0.3,0.7,1.3333,3,0.25,0.4
EMP0044,Information Technology,Security Analyst,Medium,1,81,10,10,4,0,2,5,4,4,1,0.2699,471.8,1.0,1.0,0.4,0.0,0.2,0.5,0.4,0.4,0.6,1.25,2,0.19,0.5
EMP0045,Operations,Operations Manager,Low,1,91,10,9,2,1,1,5,4,4,0,0.172,174.2,0.0,0.9,0.2,0.1,0.1,0.5,0.4,0.4,0.6,1.25,1,0.09,0.5
EMP0046,Information Technology,System Administrator,Medium,1,87,10,7,2,1,2,5,4,4,1,0.1894,436.0,0.0,0.7,0.2,0.1,0.2,0.5,0.4,0.4,0.6,1.25,2,0.13,0.5
EMP0047,Finance,Finance Manager,High,1,85,10,9,3,0,3,5,3,3,1,0.3172,274.2,0.0,0.9,0.3,0.0,0.3,0.5,0.3,0.3,0.7,1.6667,3,0.15,0.5
EMP0048,Executive,Director,High,1,100,10,7,1,0,1,7,1,1,0,0.1735,345.1429,0.0,0.7,0.1,0.0,0.1,0.7,0.1,0.1,0.9,3.0,3,0.0,0.7
EMP0049,Legal,Compliance Analyst,Medium,1,79,10,7,0,0,0,8,0,0,0,0.3666,318.375,0.0,0.7,0.0,0.0,0.0,0.8,0.0,0.0,1.0,3.0,2,0.21,0.8
EMP0050,Finance,Financial Analyst,Medium,0,71,10,9,3,1,2,5,4,4,1,0.3593,192.2,0.0,0.9,0.3,0.1,0.2,0.5,0.4,0.4,0.6,1.25,2,0.29,0.25
EMP0051,Human Resources,HR Manager,High,1,65,10,8,2,0,2,6,3,3,2,0.1891,394.8333,0.5,0.8,0.2,0.0,0.2,0.6,0.3,0.3,0.7,2.0,3,0.35,0.6
EMP0052,Human Resources,HR Manager,Medium,1,83,10,10,2,0,2,4,3,3,2,0.3754,233.75,0.5,1.0,0.2,0.0,0.2,0.4,0.3,0.3,0.7,1.3333,2,0.17,0.4
EMP0053,Information Technology,Security Analyst,High,0,68,10,8,3,0,3,5,3,3,1,0.4153,314.4,1.0,0.8,0.3,0.0,0.3,0.5,0.3,0.3,0.7,1.6667,3,0.32,0.25
EMP0054,Information Technology,System Administrator,Privileged,1,74,10,8,1,1,1,4,3,3,1,0.255,279.75,0.0,0.8,0.1,0.1,0.1,0.4,0.3,0.3,0.7,1.3333,4,0.26,0.4
EMP0055,Marketing,Marketing Specialist,Low,1,80,10,9,2,0,0,6,2,2,0,0.2455,220.5,0.0,0.9,0.2,0.0,0.0,0.6,0.2,0.2,0.8,3.0,1,0.2,0.6
EMP0056,Operations,Operations Specialist,Medium,1,93,10,9,1,1,1,6,2,2,0,0.2408,370.6667,0.0,0.9,0.1,0.1,0.1,0.6,0.2,0.2,0.8,3.0,2,0.07,0.6
EMP0057,Executive,Chief Officer,Privileged,1,81,10,8,1,0,0,5,2,2,0,0.3066,169.0,0.0,0.8,0.1,0.0,0.0,0.5,0.2,0.2,0.8,2.5,4,0.19,0.5
EMP0058,Human Resources,HR Specialist,Medium,1,87,10,7,1,1,1,3,2,2,2,0.2639,243.6667,0.0,0.7,0.1,0.1,0.1,0.3,0.2,0.2,0.8,1.5,2,0.13,0.3
EMP0059,Human Resources,Recruiter,Medium,1,81,10,9,2,1,1,7,3,3,2,0.3075,279.5714,0.5,0.9,0.2,0.1,0.1,0.7,0.3,0.3,0.7,2.3333,2,0.19,0.7
EMP0060,Sales,Sales Manager,Low,0,82,10,9,2,0,1,8,2,2,0,0.3457,274.75,0.0,0.9,0.2,0.0,0.1,0.8,0.2,0.2,0.8,3.0,1,0.18,0.4
EMP0061,Finance,Financial Analyst,Medium,1,81,10,10,1,0,1,7,2,2,1,0.3005,307.8571,1.0,1.0,0.1,0.0,0.1,0.7,0.2,0.2,0.8,3.0,2,0.19,0.7
EMP0062,Sales,Sales Representative,Low,1,69,10,8,4,0,2,5,6,6,0,0.3389,246.0,0.0,0.8,0.4,0.0,0.2,0.5,0.6,0.6,0.4,0.8333,1,0.31,0.5
EMP0063,Legal,Legal Assistant,Medium,1,63,10,8,1,0,0,5,1,1,0,0.2744,357.4,0.0,0.8,0.1,0.0,0.0,0.5,0.1,0.1,0.9,3.0,2,0.37,0.5
EMP0064,Operations,Operations Manager,Medium,1,85,10,8,1,1,1,8,2,2,0,0.338,301.75,0.0,0.8,0.1,0.1,0.1,0.8,0.2,0.2,0.8,3.0,2,0.15,0.8
EMP0065,Sales,Sales Manager,Low,1,89,10,8,2,0,0,6,2,2,0,0.2553,229.1667,0.0,0.8,0.2,0.0,0.0,0.6,0.2,0.2,0.8,3.0,1,0.11,0.6
EMP0066,Executive,Director,Privileged,1,82,10,9,1,1,0,6,2,2,0,0.2324,249.1667,0.0,0.9,0.1,0.1,0.0,0.6,0.2,0.2,0.8,3.0,4,0.18,0.6
EMP0067,Marketing,Marketing Specialist,Low,1,67,10,5,3,0,1,4,4,4,0,0.363,151.25,0.0,0.5,0.3,0.0,0.1,0.4,0.4,0.4,0.6,1.0,1,0.33,0.4
EMP0068,Human Resources,HR Manager,High,1,68,10,7,0,1,0,6,2,2,2,0.3867,382.5,0.5,0.7,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,3,0.32,0.6
EMP0069,Legal,Compliance Analyst,High,1,78,10,7,4,0,1,7,4,4,0,0.2551,229.0,0.0,0.7,0.4,0.0,0.1,0.7,0.4,0.4,0.6,1.75,3,0.22,0.7
EMP0070,Executive,Chief Officer,High,1,95,10,7,0,1,0,7,1,1,0,0.1532,263.4286,0.0,0.7,0.0,0.1,0.0,0.7,0.1,0.1,0.9,3.0,3,0.05,0.7
EMP0071,Human Resources,HR Specialist,High,1,65,10,8,4,1,1,4,5,5,2,0.2749,168.0,1.0,0.8,0.4,0.1,0.1,0.4,0.5,0.5,0.5,0.8,3,0.35,0.4
EMP0072,Legal,Legal Assistant,Medium,1,83,10,8,2,1,1,6,3,3,0,0.2377,169.5,0.0,0.8,0.2,0.1,0.1,0.6,0.3,0.3,0.7,2.0,2,0.17,0.6
EMP0073,Sales,Sales Representative,Medium,1,83,10,8,2,0,2,3,3,3,0,0.247,222.6667,0.0,0.8,0.2,0.0,0.2,0.3,0.3,0.3,0.7,1.0,2,0.17,0.3
EMP0074,Information Technology,System Administrator,Medium,1,77,10,9,1,0,0,4,1,1,1,0.3085,152.75,1.0,0.9,0.1,0.0,0.0,0.4,0.1,0.1,0.9,3.0,2,0.23,0.4
EMP0075,Operations,Operations Specialist,Low,1,72,10,6,2,0,1,8,4,4,0,0.3517,268.75,0.0,0.6,0.2,0.0,0.1,0.8,0.4,0.4,0.6,2.0,1,0.28,0.8
EMP0076,Human Resources,Recruiter,Medium,1,88,10,8,0,0,0,4,1,1,2,0.2394,168.25,0.0,0.8,0.0,0.0,0.0,0.4,0.1,0.1,0.9,3.0,2,0.12,0.4
EMP0077,Finance,Finance Manager,Medium,1,67,10,8,2,1,1,3,4,4,1,0.4198,261.0,1.0,0.8,0.2,0.1,0.1,0.3,0.4,0.4,0.6,0.75,2,0.33,0.3
EMP0078,Human Resources,HR Specialist,Medium,1,79,10,8,3,1,1,8,5,5,2,0.2654,185.25,1.0,0.8,0.3,0.1,0.1,0.8,0.5,0.5,0.5,1.6,2,0.21,0.8
EMP0079,Marketing,Digital Marketing Analyst,Medium,1,82,10,7,3,1,2,6,5,5,0,0.2244,364.6667,0.0,0.7,0.3,0.1,0.2,0.6,0.5,0.5,0.5,1.2,2,0.18,0.6
EMP0080,Sales,Account Executive,Low,1,84,10,9,0,1,0,5,2,2,0,0.2815,115.2,0.0,0.9,0.0,0.1,0.0,0.5,0.2,0.2,0.8,2.5,1,0.16,0.5
EMP0081,Information Technology,System Administrator,Medium,1,84,10,10,1,0,1,5,1,1,1,0.3087,379.4,1.0,1.0,0.1,0.0,0.1,0.5,0.1,0.1,0.9,3.0,2,0.16,0.5
EMP0082,Marketing,Digital Marketing Analyst,Medium,1,84,10,9,2,1,1,6,3,3,0,0.2796,489.0,0.0,0.9,0.2,0.1,0.1,0.6,0.3,0.3,0.7,2.0,2,0.16,0.6
EMP0083,Operations,Operations Specialist,Medium,1,84,10,8,0,2,0,7,2,2,0,0.195,342.4286,0.0,0.8,0.0,0.2,0.0,0.7,0.2,0.2,0.8,3.0,2,0.16,0.7
EMP0084,Information Technology,IT Support Analyst,High,1,91,10,9,0,0,0,5,0,0,1,0.1824,290.6,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.0,1.0,3.0,3,0.09,0.5
EMP0085,Sales,Sales Representative,Low,1,68,10,8,0,0,0,4,0,0,0,0.3202,317.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,1.0,3.0,1,0.32,0.4
EMP0086,Legal,Legal Assistant,Medium,0,75,10,9,5,1,3,3,7,7,0,0.3702,396.0,0.0,0.9,0.5,0.1,0.3,0.3,0.7,0.7,0.3,0.4286,2,0.25,0.15
EMP0087,Executive,Chief Officer,High,1,86,10,10,1,1,1,5,3,3,0,0.2029,448.8,0.0,1.0,0.1,0.1,0.1,0.5,0.3,0.3,0.7,1.6667,3,0.14,0.5
EMP0088,Finance,Finance Manager,Medium,0,58,10,10,2,0,1,2,2,2,1,0.4159,306.0,0.0,1.0,0.2,0.0,0.1,0.2,0.2,0.2,0.8,1.0,2,0.42,0.1
EMP0089,Information Technology,IT Support Analyst,Privileged,1,78,10,10,3,0,1,3,3,3,1,0.2835,220.3333,1.0,1.0,0.3,0.0,0.1,0.3,0.3,0.3,0.7,1.0,4,0.22,0.3
EMP0090,Human Resources,HR Manager,Medium,1,65,10,9,3,0,2,3,5,5,2,0.3755,299.0,0.5,0.9,0.3,0.0,0.2,0.3,0.5,0.5,0.5,0.6,2,0.35,0.3
EMP0091,Marketing,Marketing Specialist,Low,0,78,10,6,2,2,0,1,6,6,0,0.3377,352.0,0.0,0.6,0.2,0.2,0.0,0.1,0.6,0.6,0.4,0.1667,1,0.22,0.05
EMP0092,Finance,Finance Manager,Medium,1,70,10,8,3,1,1,3,6,6,1,0.4703,226.0,1.0,0.8,0.3,0.1,0.1,0.3,0.6,0.6,0.4,0.5,2,0.3,0.3
EMP0093,Marketing,Marketing Manager,Medium,1,53,10,8,2,1,1,5,3,3,0,0.3165,174.0,0.0,0.8,0.2,0.1,0.1,0.5,0.3,0.3,0.7,1.6667,2,0.47,0.5
EMP0094,Operations,Operations Analyst,Medium,1,80,10,8,2,1,1,8,5,5,0,0.2323,220.375,0.0,0.8,0.2,0.1,0.1,0.8,0.5,0.5,0.5,1.6,2,0.2,0.8
EMP0095,Sales,Account Executive,Medium,0,84,10,10,2,1,1,7,4,4,0,0.3975,265.5714,0.0,1.0,0.2,0.1,0.1,0.7,0.4,0.4,0.6,1.75,2,0.16,0.35
EMP0096,Information Technology,Security Analyst,Privileged,1,88,10,6,1,0,1,7,3,3,1,0.2824,161.5714,1.0,0.6,0.1,0.0,0.1,0.7,0.3,0.3,0.7,2.3333,4,0.12,0.7
EMP0097,Operations,Operations Specialist,Medium,1,99,10,9,1,0,0,6,2,2,0,0.2388,323.3333,0.0,0.9,0.1,0.0,0.0,0.6,0.2,0.2,0.8,3.0,2,0.01,0.6
EMP0098,Human Resources,HR Specialist,High,1,82,10,8,0,1,0,5,2,2,2,0.2962,222.0,0.5,0.8,0.0,0.1,0.0,0.5,0.2,0.2,0.8,2.5,3,0.18,0.5
EMP0099,Human Resources,HR Specialist,Medium,1,100,10,7,0,0,0,7,2,2,2,0.186,179.4286,0.0,0.7,0.0,0.0,0.0,0.7,0.2,0.2,0.8,3.0,2,0.0,0.7
EMP0100,Operations,Operations Analyst,Medium,1,90,10,9,2,0,0,5,2,2,0,0.1987,284.8,0.0,0.9,0.2,0.0,0.0,0.5,0.2,0.2,0.8,2.5,2,0.1,0.5
EMP0101,Human Resources,HR Specialist,High,1,83,10,8,0,0,0,6,0,0,2,0.2061,174.1667,0.0,0.8,0.0,0.0,0.0,0.6,0.0,0.0,1.0,3.0,3,0.17,0.6
EMP0102,Operations,Operations Analyst,Medium,0,87,10,9,3,1,1,7,4,4,0,0.3575,297.7143,0.0,0.9,0.3,0.1,0.1,0.7,0.4,0.4,0.6,1.75,2,0.13,0.35
EMP0103,Operations,Operations Manager,Low,1,74,10,6,2,0,1,8,4,4,0,0.325,201.375,0.0,0.6,0.2,0.0,0.1,0.8,0.4,0.4,0.6,2.0,1,0.26,0.8
EMP0104,Operations,Operations Manager,Low,1,63,10,8,5,0,3,4,5,5,0,0.3538,207.75,0.0,0.8,0.5,0.0,0.3,0.4,0.5,0.5,0.5,0.8,1,0.37,0.4
EMP0105,Information Technology,System Administrator,Medium,0,95,10,9,3,2,1,4,5,5,1,0.3097,455.5,1.0,0.9,0.3,0.2,0.1,0.4,0.5,0.5,0.5,0.8,2,0.05,0.2
EMP0106,Human Resources,HR Manager,Medium,1,60,10,10,2,1,1,6,3,3,2,0.2641,215.8333,1.0,1.0,0.2,0.1,0.1,0.6,0.3,0.3,0.7,2.0,2,0.4,0.6
EMP0107,Operations,Operations Specialist,Low,1,80,10,9,1,0,1,5,1,1,0,0.1748,221.0,0.0,0.9,0.1,0.0,0.1,0.5,0.1,0.1,0.9,3.0,1,0.2,0.5
EMP0108,Legal,Legal Assistant,High,1,70,10,9,2,1,0,5,3,3,0,0.3164,256.2,0.0,0.9,0.2,0.1,0.0,0.5,0.3,0.3,0.7,1.6667,3,0.3,0.5
EMP0109,Executive,Vice President,High,1,97,10,8,0,2,0,7,2,2,0,0.2449,212.7143,0.0,0.8,0.0,0.2,0.0,0.7,0.2,0.2,0.8,3.0,3,0.03,0.7
EMP0110,Human Resources,HR Manager,High,1,63,10,9,3,0,2,6,5,5,2,0.2977,391.0,0.5,0.9,0.3,0.0,0.2,0.6,0.5,0.5,0.5,1.2,3,0.37,0.6
EMP0111,Operations,Operations Analyst,Low,1,81,10,7,4,1,3,4,7,7,0,0.3016,156.0,0.0,0.7,0.4,0.1,0.3,0.4,0.7,0.7,0.3,0.5714,1,0.19,0.4
EMP0112,Legal,Legal Assistant,High,1,70,10,8,2,1,2,4,4,4,0,0.3289,242.0,0.0,0.8,0.2,0.1,0.2,0.4,0.4,0.4,0.6,1.0,3,0.3,0.4
EMP0113,Information Technology,Security Analyst,High,0,70,10,5,1,2,1,4,5,5,1,0.3949,268.25,0.0,0.5,0.1,0.2,0.1,0.4,0.5,0.5,0.5,0.8,3,0.3,0.2
EMP0114,Marketing,Marketing Manager,Low,1,88,10,9,1,1,1,6,3,3,0,0.3374,294.5,0.0,0.9,0.1,0.1,0.1,0.6,0.3,0.3,0.7,2.0,1,0.12,0.6
EMP0115,Human Resources,HR Specialist,Medium,1,87,10,10,2,0,1,6,2,2,2,0.2966,249.3333,0.0,1.0,0.2,0.0,0.1,0.6,0.2,0.2,0.8,3.0,2,0.13,0.6
EMP0116,Finance,Accountant,Medium,1,85,10,9,3,0,2,6,5,5,1,0.3086,200.5,1.0,0.9,0.3,0.0,0.2,0.6,0.5,0.5,0.5,1.2,2,0.15,0.6
EMP0117,Marketing,Marketing Specialist,Low,1,77,10,9,3,1,2,3,6,6,0,0.2937,326.0,0.0,0.9,0.3,0.1,0.2,0.3,0.6,0.6,0.4,0.5,1,0.23,0.3
EMP0118,Operations,Operations Specialist,Low,1,79,10,8,1,0,0,6,1,1,0,0.1783,192.3333,0.0,0.8,0.1,0.0,0.0,0.6,0.1,0.1,0.9,3.0,1,0.21,0.6
EMP0119,Legal,Legal Assistant,Medium,1,75,10,10,2,0,1,5,3,3,0,0.373,209.8,0.0,1.0,0.2,0.0,0.1,0.5,0.3,0.3,0.7,1.6667,2,0.25,0.5
EMP0120,Human Resources,Recruiter,High,1,91,10,8,3,1,2,6,6,6,2,0.2322,239.1667,0.5,0.8,0.3,0.1,0.2,0.6,0.6,0.6,0.4,1.0,3,0.09,0.6
EMP0121,Information Technology,IT Support Analyst,Medium,1,93,10,6,3,0,0,6,4,4,1,0.1743,200.1667,1.0,0.6,0.3,0.0,0.0,0.6,0.4,0.4,0.6,1.5,2,0.07,0.6
EMP0122,Information Technology,System Administrator,Medium,1,78,10,9,1,0,0,3,2,2,1,0.2613,329.0,0.0,0.9,0.1,0.0,0.0,0.3,0.2,0.2,0.8,1.5,2,0.22,0.3
EMP0123,Information Technology,Security Analyst,High,0,81,10,9,1,0,0,6,2,2,1,0.3705,304.8333,1.0,0.9,0.1,0.0,0.0,0.6,0.2,0.2,0.8,3.0,3,0.19,0.3
EMP0124,Marketing,Marketing Manager,Low,1,76,10,9,1,1,1,7,3,3,0,0.3849,275.7143,0.0,0.9,0.1,0.1,0.1,0.7,0.3,0.3,0.7,2.3333,1,0.24,0.7
EMP0125,Operations,Operations Analyst,Low,1,65,10,6,0,0,0,6,0,0,0,0.3285,278.1667,0.0,0.6,0.0,0.0,0.0,0.6,0.0,0.0,1.0,3.0,1,0.35,0.6
EMP0126,Marketing,Marketing Specialist,Medium,1,63,10,9,2,0,1,3,2,2,0,0.2542,194.0,0.0,0.9,0.2,0.0,0.1,0.3,0.2,0.2,0.8,1.5,2,0.37,0.3
EMP0127,Sales,Sales Representative,Medium,1,77,10,8,2,1,0,8,5,5,0,0.2876,258.0,0.0,0.8,0.2,0.1,0.0,0.8,0.5,0.5,0.5,1.6,2,0.23,0.8
EMP0128,Legal,Compliance Analyst,Medium,1,67,10,9,2,1,0,6,4,4,0,0.3128,344.5,0.0,0.9,0.2,0.1,0.0,0.6,0.4,0.4,0.6,1.5,2,0.33,0.6
EMP0129,Sales,Sales Representative,Low,1,68,10,9,1,1,1,5,3,3,0,0.2948,180.8,0.0,0.9,0.1,0.1,0.1,0.5,0.3,0.3,0.7,1.6667,1,0.32,0.5
EMP0130,Marketing,Digital Marketing Analyst,Medium,1,74,10,9,1,2,0,6,4,4,0,0.3086,250.6667,0.0,0.9,0.1,0.2,0.0,0.6,0.4,0.4,0.6,1.5,2,0.26,0.6
EMP0131,Human Resources,Recruiter,High,0,80,10,8,4,0,2,3,5,5,2,0.4065,244.3333,0.5,0.8,0.4,0.0,0.2,0.3,0.5,0.5,0.5,0.6,3,0.2,0.15
