employee_id,department,role,privilege_level,risk_score,risk_level,primary_risk_driver,training_module,training_topic,training_duration_minutes,training_priority,completion_deadline_days,follow_up_simulation_days,escalation_requirement
EMP0017,Finance,Finance Manager,Medium,28.77,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0018,Operations,Operations Analyst,Low,9.58,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0019,Human Resources,Recruiter,High,19.54,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0020,Executive,Chief Officer,Privileged,18.11,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0021,Information Technology,System Administrator,High,15.96,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0022,Sales,Sales Manager,Medium,18.35,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0023,Human Resources,HR Manager,Medium,19.19,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0024,Sales,Sales Representative,Medium,8.88,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0025,Marketing,Digital Marketing Analyst,Low,17.16,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0026,Legal,Legal Assistant,Medium,16.25,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0027,Finance,Accountant,High,8.39,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0028,Operations,Operations Analyst,Low,1.47,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0029,Legal,Legal Assistant,High,16.6,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0030,Marketing,Marketing Manager,Medium,4.67,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0031,Information Technology,System Administrator,Medium,13.51,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0032,Sales,Sales Manager,Medium,14.46,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0033,Marketing,Marketing Manager,Medium,8.46,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0034,Legal,Legal Assistant,Medium,23.93,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0035,Executive,Director,High,31.33,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0036,Human Resources,HR Specialist,Medium,5.72,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0037,Marketing,Marketing Manager,Low,18.63,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0038,Marketing,Digital Marketing Analyst,Medium,6.67,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0039,Operations,Operations Manager,Low,13.58,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0040,Human Resources,HR Manager,High,22.07,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0041,Legal,Legal Assistant,High,28.18,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0042,Marketing,Marketing Specialist,Medium,12.77,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0043,Finance,Finance Manager,High,31.23,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0044,Information Technology,Security Analyst,Medium,36.56,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0045,Operations,Operations Manager,Low,16.21,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0046,Information Technology,System Administrator,Medium,22.25,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0047,Finance,Finance Manager,High,26.49,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0048,Executive,Director,High,10.18,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0049,Legal,Compliance Analyst,Medium,1.51,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0050,Finance,Financial Analyst,Medium,25.51,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0051,Human Resources,HR Manager,High,29.65,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0052,Human Resources,HR Manager,Medium,25.3,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0053,Information Technology,Security Analyst,High,38.81,High,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,High,7,30,Manager Notification
EMP0054,Information Technology,System Administrator,Privileged,24.32,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0055,Marketing,Marketing Specialist,Low,8.42,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0056,Operations,Operations Specialist,Medium,11.09,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0057,Executive,Chief Officer,Privileged,17.79,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0058,Human Resources,HR Specialist,Medium,13.3,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0059,Human Resources,Recruiter,Medium,21.82,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0060,Sales,Sales Manager,Low,9.26,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0061,Finance,Financial Analyst,Medium,22.35,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0062,Sales,Sales Representative,Low,30.11,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0063,Legal,Legal Assistant,Medium,9.51,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0064,Operations,Operations Manager,Medium,10.88,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0065,Sales,Sales Manager,Low,7.47,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0066,Executive,Director,Privileged,17.16,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0067,Marketing,Marketing Specialist,Low,20.84,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0068,Human Resources,HR Manager,High,18.81,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0069,Legal,Compliance Analyst,High,26.7,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0070,Executive,Chief Officer,High,7.02,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0071,Human Resources,HR Specialist,High,43.33,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0072,Legal,Legal Assistant,Medium,16.88,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0073,Sales,Sales Representative,Medium,20.56,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0074,Information Technology,System Administrator,Medium,19.09,Low,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Routine,90,90,None
EMP0075,Operations,Operations Specialist,Low,16.63,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0076,Human Resources,Recruiter,Medium,5.82,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0077,Finance,Finance Manager,Medium,33.82,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0078,Human Resources,HR Specialist,Medium,34.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0079,Marketing,Digital Marketing Analyst,Medium,26.98,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0080,Sales,Account Executive,Low,5.37,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0081,Information Technology,System Administrator,Medium,19.93,Low,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Routine,90,90,None
EMP0082,Marketing,Digital Marketing Analyst,Medium,16.77,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0083,Operations,Operations Specialist,Medium,7.82,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0084,Information Technology,IT Support Analyst,High,5.33,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0085,Sales,Sales Representative,Low,1.26,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0086,Legal,Legal Assistant,Medium,40.88,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0087,Executive,Chief Officer,High,19.02,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0088,Finance,Finance Manager,Medium,18.46,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0089,Information Technology,IT Support Analyst,Privileged,38.11,High,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,High,7,30,Manager Notification
EMP0090,Human Resources,HR Manager,Medium,35.61,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0091,Marketing,Marketing Specialist,Low,23.89,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0092,Finance,Finance Manager,Medium,41.4,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0093,Marketing,Marketing Manager,Medium,20.56,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0094,Operations,Operations Analyst,Medium,22.46,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0095,Sales,Account Executive,Medium,19.4,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0096,Information Technology,Security Analyst,Privileged,31.79,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0097,Operations,Operations Specialist,Medium,8.35,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0098,Human Resources,HR Specialist,High,17.86,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0099,Human Resources,HR Specialist,Medium,6.14,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0100,Operations,Operations Analyst,Medium,11.4,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0101,Human Resources,HR Specialist,High,5.65,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0102,Operations,Operations Analyst,Medium,20.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0103,Operations,Operations Manager,Low,16.42,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0104,Operations,Operations Manager,Low,31.79,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0105,Information Technology,System Administrator,Medium,35.09,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0106,Human Resources,HR Manager,Medium,29.82,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0107,Operations,Operations Specialist,Low,6.32,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0108,Legal,Legal Assistant,High,20.18,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0109,Executive,Vice President,High,9.96,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0110,Human Resources,HR Manager,High,37.75,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0111,Operations,Operations Analyst,Low,34.63,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0112,Legal,Legal Assistant,High,28.07,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0113,Information Technology,Security Analyst,High,27.54,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0114,Marketing,Marketing Manager,Low,11.26,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0115,Human Resources,HR Specialist,Medium,13.3,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0116,Finance,Accountant,Medium,37.19,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0117,Marketing,Marketing Specialist,Low,28.74,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0118,Operations,Operations Specialist,Low,3.79,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0119,Legal,Legal Assistant,Medium,18.25,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0120,Human Resources,Recruiter,High,37.96,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0121,Information Technology,IT Support Analyst,Medium,28.98,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0122,Information Technology,System Administrator,Medium,12.14,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0123,Information Technology,Security Analyst,High,24.28,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0124,Marketing,Marketing Manager,Low,12.0,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0125,Operations,Operations Analyst,Low,0.53,Low,Training Weakness,Security Awareness Fundamentals Refresher,Core phishing awareness and safe email behavior,30,Routine,90,90,None
EMP0126,Marketing,Marketing Specialist,Medium,17.4,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0127,Sales,Sales Representative,Medium,20.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0128,Legal,Compliance Analyst,Medium,19.61,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0129,Sales,Sales Representative,Low,13.89,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0130,Marketing,Digital Marketing Analyst,Medium,17.3,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0131,Human Resources,Recruiter,High,39.12,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0132,Marketing,Marketing Manager,Medium,21.82,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0133,Finance,Financial Analyst,High,49.65,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0134,Information Technology,Security Analyst,High,20.07,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0135,Finance,Financial Analyst,High,24.49,Moderate,Targeted Attack Failures,Spear Phishing and Social Engineering Defense,"Targeted phishing, executive impersonation, social engineering",40,Standard,30,60,Monitor
EMP0136,Legal,Legal Manager,High,15.96,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0137,Marketing,Marketing Manager,Low,7.68,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0138,Marketing,Marketing Manager,Low,17.89,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0139,Operations,Operations Analyst,Medium,13.93,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0140,Finance,Finance Manager,Medium,32.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0141,Legal,Compliance Analyst,Medium,7.61,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0142,Legal,Legal Manager,High,23.02,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0143,Human Resources,HR Manager,High,29.65,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0144,Operations,Operations Manager,Medium,14.25,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0145,Legal,Compliance Analyst,High,22.28,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0146,Information Technology,IT Support Analyst,High,4.49,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0147,Marketing,Marketing Manager,Low,3.68,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0148,Operations,Operations Specialist,Low,10.74,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0149,Operations,Operations Specialist,Low,7.58,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0150,Marketing,Marketing Manager,Medium,7.3,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0151,Executive,Vice President,Privileged,23.79,Moderate,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Standard,30,60,Monitor
EMP0152,Sales,Sales Manager,Medium,25.51,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0153,Information Technology,Security Analyst,Medium,43.82,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0154,Operations,Operations Manager,Medium,9.4,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0155,Human Resources,HR Specialist,High,31.54,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0156,Sales,Sales Representative,Low,17.68,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0157,Finance,Financial Analyst,Medium,17.09,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0158,Executive,Chief Officer,High,11.54,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0159,Executive,Vice President,High,13.54,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0160,Marketing,Digital Marketing Analyst,Medium,19.51,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
