event_id,employee_id,department,role,privilege_level,security_training_completed,previous_training_score,scenario_id,scenario_name,attack_type,difficulty,target_department,mitre_technique,targeted_department,failure_probability,email_opened,link_clicked,attachment_opened,credentials_submitted,email_reported,response_time_seconds,simulation_failed,remediation_training_assigned
EVT000023,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2285,0,0,0,0,1,189,0,0
EVT000024,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1383,1,0,0,0,0,0,0,0
EVT000025,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.1657,1,0,0,0,1,192,0,0
EVT000026,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.1926,1,0,0,0,0,0,0,0
EVT000027,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.2204,0,0,0,0,0,0,0,0
EVT000028,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.1743,1,0,0,0,1,81,0,0
EVT000029,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.244,1,0,1,0,0,0,1,1
EVT000030,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.3182,1,1,0,1,0,0,1,1
EVT000031,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.1932,1,0,0,0,0,0,0,0
EVT000032,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.3513,1,0,0,0,1,95,0,0
EVT000033,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2551,1,0,0,0,0,0,1,1
EVT000034,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.3301,1,0,0,0,1,326,0,0
EVT000035,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.2063,1,1,0,1,0,0,1,1
EVT000036,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.2564,0,0,0,0,0,0,1,1
EVT000037,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.2215,1,0,0,0,0,0,0,0
EVT000038,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.3715,1,1,0,0,0,0,1,1
EVT000039,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.437,1,0,0,0,1,482,0,0
EVT000040,EMP0004,Marketing,Marketing Specialist,Low,1,87,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.2326,0,0,0,0,0,0,0,0
EVT000041,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.2511,0,0,0,0,0,0,1,1
EVT000042,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.2527,1,0,0,0,1,106,0,0
EVT000043,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2012,1,0,0,0,0,0,0,0
EVT000044,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.2969,1,0,0,0,0,0,0,0
EVT000045,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.24,1,0,0,0,0,0,0,0
EVT000046,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.2095,0,0,0,0,0,0,0,0
EVT000047,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.3205,1,0,0,0,1,529,0,0
EVT000048,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2069,1,1,0,0,1,397,1,1
EVT000049,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.3163,0,0,0,0,0,0,1,1
EVT000050,EMP0005,Human Resources,HR Specialist,Medium,1,72,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.3025,0,0,0,0,0,0,0,0
EVT000051,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.1363,1,0,0,0,1,339,0,0
EVT000052,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.2377,1,0,0,0,1,229,0,0
EVT000053,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,1,0.2511,1,0,0,0,0,0,0,0
EVT000054,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1822,1,0,0,0,0,0,0,0
EVT000055,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.3276,0,0,0,0,1,524,0,0
EVT000056,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.2451,1,0,0,0,0,0,0,0
EVT000057,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.2208,1,0,0,0,0,0,0,0
EVT000058,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.3002,1,1,0,0,0,0,1,1
EVT000059,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.2909,1,0,1,0,0,0,1,1
EVT000060,EMP0006,Finance,Finance Manager,Medium,1,72,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.1529,1,0,0,0,1,144,0,0
EVT000061,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.3038,1,1,0,1,0,0,1,1
EVT000062,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.3656,0,0,0,0,0,0,0,0
EVT000063,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.433,1,0,0,0,1,151,1,1
EVT000064,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.3905,1,0,0,0,1,372,0,0
EVT000065,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.3842,1,0,0,0,1,84,0,0
EVT000066,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.4925,1,1,0,1,0,0,1,1
EVT000067,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.4221,1,1,0,1,1,288,1,1
EVT000068,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.4216,1,0,0,0,1,101,0,0
EVT000069,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.3638,1,0,0,0,0,0,0,0
EVT000070,EMP0007,Marketing,Marketing Specialist,Medium,1,65,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.3437,1,0,0,0,0,0,0,0
EVT000071,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.273,1,1,0,1,1,382,1,1
EVT000072,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.2925,1,0,0,0,0,0,0,0
EVT000073,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2788,1,0,0,0,0,0,0,0
EVT000074,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.2876,1,0,0,0,1,207,0,0
EVT000075,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.2831,1,1,0,0,1,152,1,1
EVT000076,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.2309,1,1,0,1,0,0,1,1
EVT000077,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.3122,1,0,0,0,1,308,0,0
EVT000078,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2336,0,0,0,0,1,476,0,0
EVT000079,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.2357,0,0,0,0,0,0,0,0
EVT000080,EMP0008,Operations,Operations Analyst,Low,1,81,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.3644,1,0,0,0,0,0,0,0
EVT000081,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.3052,0,0,0,0,1,224,0,0
EVT000082,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.2156,0,0,0,0,0,0,0,0
EVT000083,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2126,1,0,0,0,1,456,0,0
EVT000084,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1676,1,0,0,0,0,0,0,0
EVT000085,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.2436,1,1,0,1,0,0,1,1
EVT000086,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.1905,1,0,0,0,1,319,0,0
EVT000087,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.3209,1,1,0,0,1,309,1,1
EVT000088,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.3067,1,1,0,0,0,0,1,1
EVT000089,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.1625,0,0,0,0,0,0,0,0
EVT000090,EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.1649,1,0,0,0,1,266,0,0
EVT000091,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.5575,1,1,0,1,0,0,1,1
EVT000092,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.5014,1,0,1,0,1,474,1,1
EVT000093,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.5748,0,0,0,0,0,0,0,0
EVT000094,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.5599,0,0,0,0,1,174,1,1
EVT000095,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.5277,1,0,0,0,0,0,0,0
EVT000096,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,1,0.6525,1,0,0,0,0,0,0,0
EVT000097,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.4926,1,0,0,0,0,0,0,0
EVT000098,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.6451,1,1,0,0,0,0,1,1
EVT000099,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.5219,1,0,0,0,1,397,0,0
EVT000100,EMP0010,Information Technology,IT Support Analyst,High,0,60,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.4011,1,0,0,0,0,0,0,0
EVT000101,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.1399,1,0,0,0,1,275,0,0
EVT000102,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.1805,0,0,0,0,1,664,0,0
EVT000103,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2728,0,0,0,0,1,186,0,0
EVT000104,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1644,0,0,0,0,0,0,0,0
EVT000105,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.3534,1,0,0,0,1,222,0,0
EVT000106,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.275,0,0,0,0,0,0,0,0
EVT000107,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.3184,0,0,0,0,0,0,1,1
EVT000108,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.1863,1,0,0,0,0,0,0,0
EVT000109,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.2975,1,0,0,0,0,0,0,0
EVT000110,EMP0011,Human Resources,HR Specialist,High,1,70,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.259,0,0,0,0,0,0,0,0
EVT000111,EMP0012,Human Resources,Recruiter,High,1,74,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.3413,1,0,0,0,1,326,0,0
EVT000112,EMP0012,Human Resources,Recruiter,High,1,74,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.4185,1,0,0,0,1,78,0,0
EVT000113,EMP0012,Human Resources,Recruiter,High,1,74,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.4405,0,0,0,0,1,545,1,1
EVT000114,EMP0012,Human Resources,Recruiter,High,1,74,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.3483,1,0,0,0,0,0,0,0
EVT000115,EMP0012,Human Resources,Recruiter,High,1,74,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.348,1,1,0,0,0,0,1,1
EVT000116,EMP0012,Human Resources,Recruiter,High,1,74,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.3966,1,1,0,1,1,114,1,1
EVT000117,EMP0012,Human Resources,Recruiter,High,1,74,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.4431,0,0,0,0,0,0,1,1
EVT000118,EMP0012,Human Resources,Recruiter,High,1,74,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2997,1,1,0,0,1,299,1,1
EVT000119,EMP0012,Human Resources,Recruiter,High,1,74,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.3749,1,0,1,0,0,0,1,1
EVT000120,EMP0012,Human Resources,Recruiter,High,1,74,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.3203,1,1,0,1,0,0,1,1
EVT000121,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.187,0,0,0,0,1,369,0,0
EVT000122,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.1419,1,0,0,0,1,187,0,0
EVT000123,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.0585,1,0,0,0,1,369,0,0
EVT000124,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1274,1,0,0,0,1,205,0,0
EVT000125,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.1343,1,0,0,0,1,197,0,0
EVT000126,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.1888,1,0,0,0,1,609,0,0
EVT000127,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.2395,1,0,0,0,1,920,0,0
EVT000128,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2625,1,0,0,0,1,130,0,0
EVT000129,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.1137,1,0,0,0,1,225,0,0
EVT000130,EMP0013,Operations,Operations Analyst,Medium,1,87,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.2043,1,0,0,0,1,149,0,0
EVT000131,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.2504,0,0,0,0,1,131,1,1
EVT000132,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.1407,1,0,0,0,1,333,0,0
EVT000133,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2738,1,0,0,0,0,0,1,1
EVT000134,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.3437,1,0,0,0,1,148,0,0
EVT000135,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.3376,1,1,0,1,1,258,1,1
EVT000136,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.2491,1,0,0,0,1,1176,0,0
EVT000137,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.2717,1,1,0,1,1,154,1,1
EVT000138,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.359,1,0,0,0,0,0,0,0
EVT000139,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.2301,0,0,0,0,0,0,0,0
EVT000140,EMP0014,Human Resources,Recruiter,Medium,1,63,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.2606,1,0,0,0,0,0,0,0
EVT000141,EMP0015,Operations,Operations Manager,Medium,1,86,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.2161,0,0,0,0,1,154,0,0
EVT000142,EMP0015,Operations,Operations Manager,Medium,1,86,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.2657,1,0,1,0,0,0,1,1
EVT000143,EMP0015,Operations,Operations Manager,Medium,1,86,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2653,0,0,0,0,1,769,0,0
EVT000144,EMP0015,Operations,Operations Manager,Medium,1,86,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.2229,1,0,0,0,1,483,0,0
EVT000145,EMP0015,Operations,Operations Manager,Medium,1,86,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.2441,0,0,0,0,1,605,1,1
