alert_id,alert_created_utc,alert_severity,alert_type,alert_status,assigned_team,employee_id,department,role,privilege_level,risk_score,risk_level,primary_risk_driver,recommended_action,alert_message
ALERT-0007,2026-09-09T20:58:05.808133+00:00,P2 - High,Targeted Phishing Risk,Open,Security Operations,EMP0089,Information Technology,IT Support Analyst,Privileged,38.11,High,Targeted Attack Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0089 in Information Technology has been classified as High human cyber risk with a risk score of 38.11. Primary risk driver: Targeted Attack Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0013,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0120,Human Resources,Recruiter,High,37.96,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0120 in Human Resources has been classified as High human cyber risk with a risk score of 37.96. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0011,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0110,Human Resources,HR Manager,High,37.75,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0110 in Human Resources has been classified as High human cyber risk with a risk score of 37.75. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0034,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0420,Information Technology,Security Analyst,High,37.33,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0420 in Information Technology has been classified as High human cyber risk with a risk score of 37.33. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0012,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0116,Finance,Accountant,Medium,37.19,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0116 in Finance has been classified as High human cyber risk with a risk score of 37.19. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0028,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0279,Marketing,Marketing Manager,Medium,36.98,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0279 in Marketing has been classified as High human cyber risk with a risk score of 36.98. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0021,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0209,Human Resources,HR Manager,Medium,36.88,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0209 in Human Resources has been classified as High human cyber risk with a risk score of 36.88. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0003,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0044,Information Technology,Security Analyst,Medium,36.56,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0044 in Information Technology has been classified as High human cyber risk with a risk score of 36.56. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0017,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0162,Human Resources,Recruiter,Medium,36.56,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0162 in Human Resources has been classified as High human cyber risk with a risk score of 36.56. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0018,2026-09-09T20:58:05.808133+00:00,P2 - High,Targeted Phishing Risk,Open,Security Operations,EMP0175,Information Technology,IT Support Analyst,Medium,35.93,High,Targeted Attack Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0175 in Information Technology has been classified as High human cyber risk with a risk score of 35.93. Primary risk driver: Targeted Attack Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0031,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0338,Operations,Operations Manager,Medium,35.72,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0338 in Operations has been classified as High human cyber risk with a risk score of 35.72. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0029,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0292,Information Technology,System Administrator,High,35.65,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0292 in Information Technology has been classified as High human cyber risk with a risk score of 35.65. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0008,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0090,Human Resources,HR Manager,Medium,35.61,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0090 in Human Resources has been classified as High human cyber risk with a risk score of 35.61. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0020,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0198,Finance,Financial Analyst,Medium,35.61,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0198 in Finance has been classified as High human cyber risk with a risk score of 35.61. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0001,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0001,Human Resources,HR Specialist,High,35.44,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0001 in Human Resources has been classified as High human cyber risk with a risk score of 35.44. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0030,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0337,Human Resources,Recruiter,High,35.44,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0337 in Human Resources has been classified as High human cyber risk with a risk score of 35.44. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0025,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0256,Human Resources,HR Specialist,Medium,35.19,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0256 in Human Resources has been classified as High human cyber risk with a risk score of 35.19. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0010,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0105,Information Technology,System Administrator,Medium,35.09,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0105 in Information Technology has been classified as High human cyber risk with a risk score of 35.09. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
